UT,AU,TI,PY,DI,study_number,TC_2020,sample_size,RV_dist_location,RV,AB,SO
WOS:000280932400048,"Oosterhof, NN; Wiggett, AJ; Diedrichsen, J; Tipper, SP; Downing, PE",Surface-Based Information Mapping Reveals Crossmodal Vision-Action Representations in Human Parietal and Occipitotemporal Cortex,2010,10.1152/jn.00326.2010,1,130,6,top,1.96969697,"Oosterhof NN, Wiggett AJ, Diedrichsen J, Tipper SP, Downing PE. Surface-based information mapping reveals crossmodal vision-action representations in human parietal and occipitotemporal cortex. J Neurophysiol 104: 1077-1089, 2010. First published June 10, 2010; doi: 10.1152/jn.00326.2010. Many lines of evidence point to a tight linkage between the perceptual and motoric representations of actions. Numerous demonstrations show how the visual perception of an action engages compatible activity in the observer's motor system. This is seen for both intransitive actions (e. g., in the case of unconscious postural imitation) and transitive actions (e. g., grasping an object). Although the discovery of ""mirror neurons"" in macaques has inspired explanations of these processes in human action behaviors, the evidence for areas in the human brain that similarly form a crossmodal visual/motor representation of actions remains incomplete. To address this, in the present study, participants performed and observed hand actions while being scanned with functional MRI. We took a data-driven approach by applying whole-brain information mapping using a multivoxel pattern analysis (MVPA) classifier, performed on reconstructed representations of the cortical surface. The aim was to identify regions in which local voxelwise patterns of activity can distinguish among different actions, across the visual and motor domains. Experiment 1 tested intransitive, meaningless hand movements, whereas experiment 2 tested object-directed actions (all right-handed). Our analyses of both experiments revealed crossmodal action regions in the lateral occipitotemporal cortex (bilaterally) and in the left postcentral gyrus/anterior parietal cortex. Furthermore, in experiment 2 we identified a gradient of bias in the patterns of information in the left hemisphere postcentral/parietal region. The postcentral gyrus carried more information about the effectors used to carry out the action (fingers vs. whole hand), whereas anterior parietal regions carried more information about the goal of the action (lift vs. punch). Taken together, these results provide evidence for common neural coding in these areas of the visual and motor aspects of actions, and demonstrate further how MVPA can contribute to our understanding of the nature of distributed neural representations.",JOURNAL OF NEUROPHYSIOLOGY
WOS:000298485500002,"Dimoka, A; Pavlou, PA; Davis, FD",NeuroIS: The Potential of Cognitive Neuroscience for Information Systems Research,2011,10.1287/isre.1100.0284,1,103,6,top,1.716666667,"This paper introduces the idea of drawing upon the cognitive neuroscience literature to inform IS research (herein termed ""NeuroIS""). Recent advances in cognitive neuroscience are uncovering the neural bases of cognitive, emotional, and social processes, and they offer new insights into the complex interplay between IT and information processing, decision making, and behavior among people, organizations, and markets. The paper reviews the emerging cognitive neuroscience literature to propose a set of seven opportunities that IS researchers can use to inform IS phenomena, namely (1) localizing the neural correlates of IS constructs, (2) capturing hidden mental processes, (3) complementing existing sources of IS data with brain data, (4) identifying antecedents of IS constructs, (5) testing consequences of IS constructs, (6) inferring the temporal ordering among IS constructs, and (7) challenging assumptions and enhancing IS theories. The paper proposes a framework for exploring the potential of cognitive neuroscience for IS research and offers examples of potentially fertile intersections of cognitive neuroscience and IS research in the domains of design science and human-computer interaction. This is followed by an example NeuroIS study in the context of e-commerce adoption using fMRI, which spawns interesting new insights. The challenges of using functional neuroimaging tools are also discussed. The paper concludes that there is considerable potential for using cognitive neuroscience theories and functional brain imaging tools in IS research to enhance IS theories.",INFORMATION SYSTEMS RESEARCH
WOS:000305859300047,"Zaki, J; Davis, JI; Ochsner, KN",Overlapping activity in anterior insula during interoception and emotional experience,2012,10.1016/j.neuroimage.2012.05.012,1,207,16,top,1.4375,"Classic theories of emotion posit that awareness of one's internal bodily states (interoception) is a key component of emotional experience. This view has been indirectly supported by data demonstrating similar patterns of brain activity - most importantly, in the anterior insula - during both interoception and emotion elicitation. However, no study has directly compared these two phenomena within participants, leaving it unclear whether interoception and emotional experience truly share the same functional neural architecture. The current study addressed this gap in knowledge by examining the neural convergence of these two phenomena within the same population. In one task, participants monitored their own heartbeat: in another task they watched emotional video clips and rated their own emotional responses to the videos. Consistent with prior research, heartbeat monitoring engaged a circumscribed area spanning insular cortex and adjacent inferior frontal operculum. Critically, this interoception-related cluster also was engaged when participants rated their own emotion, and activity here correlated with the trial-by-trial intensity of participants' emotional experience. These findings held across both group-level and individual participant-level approaches to localizing interoceptive cortex. Together, these data further clarify the functional role of the anterior insula and provide novel insights about the connection between bodily awareness and emotion. (C) 2012 Elsevier Inc. All rights reserved.",NEUROIMAGE
WOS:000263581900006,"Robins, DL; Hunyadi, E; Schultz, RT",Superior temporal activation in response to dynamic audio-visual emotional cues,2009,10.1016/j.bandc.2008.08.007,2,84,5,top,1.4,"Perception of emotion is critical for successful social interaction, yet the neural mechanisms underlying the perception of dynamic, audio-visual emotional cues are poorly understood. Evidence from language and sensory paradigms suggests that the superior temporal sulcus and gyrus (STS/STG) play a key role in the integration of auditory and visual cues. Emotion perception research has focused on static facial cues; however, dynamic audio-visual (AV) cues mimic real-world social cues more accurately than static and/or unimodal stimuli. Novel dynamic AV stimuli were presented using a block design in two fMRI studies, comparing bimodal stimuli to unimodal conditions, and emotional to neutral stimuli. Results suggest that the bilateral superior temporal region plays distinct roles in the perception of emotion and in the integration of auditory and visual cues. Given the greater ecological validity of the stimuli developed for this study, this paradigm may be helpful in elucidating the deficits in emotion perception experienced by clinical populations. (C) 2008 Elsevier Inc. All rights reserved.",BRAIN AND COGNITION
WOS:000437165800013,"Dugue, L; Merriam, EP; Heeger, DJ; Carrasco, M",Specific Visual Subregions of TPJ Mediate Reorienting of Spatial Attention,2018,10.1093/cercor/bhx140,1,21,5,top,1.4,"The temporo-parietal junction (TPJ) has been associated with various cognitive and social functions, and is critical for attentional reorienting. Attention affects early visual processing. Neuroimaging studies dealing with such processes have thus far concentrated on striate and extrastriate areas. Here, we investigated whether attention orienting or reorienting modulate activity in visually driven TPJ subregions. For each observer we identified 3 visually responsive subregions within TPJ: 2 bilateral (vTPJ(ant) and vTPJ(post)) and 1 right lateralized (vTPJ(cent)). Cortical activity in these subregions was measured using fMRI while observers performed a 2-alternative forced-choice orientation discrimination task. Covert spatial endogenous (voluntary) or exogenous (involuntary) attention was manipulated using either a central or a peripheral cue with task, stimuli and observers constant. Both endogenous and exogenous attention increased activity for invalidly cued trials in right vTPJ(post); only endogenous attention increased activity for invalidly cued trials in left vTPJ(post) and in right vTPJ(cent); and neither type of attention modulated either right or left vTPJ(ant). These results demonstrate that vTPJ(post) and vTPJ(cent) mediate the reorientation of covert attention to task relevant stimuli, thus playing a critical role in visual attention. These findings reveal a differential reorienting cortical response after observers' attention has been oriented to a given location voluntarily or involuntarily.",CEREBRAL CORTEX
WOS:000262301500012,"Meunier, D; Achard, S; Morcom, A; Bullmore, ET",Age-related changes in modular organization of human brain functional networks,2009,10.1016/j.neuroimage.2008.09.062,1,487,30,top,1.352777778,"Graph theory allows us to quantify any complex system, e.g., in social sciences, biology or technology, that can be abstractly described as a set of nodes and links. Here we derived human brain functional networks from fMRI measurements of endogenous, low frequency, correlated oscillations in 90 cortical and subcortical regions for two groups of healthy (young and older) participants. We investigated the modular structure of these networks and tested the hypothesis that normal brain aging might be associated with changes in modularity of sparse networks. Newman's modularity metric was maximised and topological roles were assigned to brain regions depending on their specific contributions to intra-and inter-modular connectivity. Both young and older brain networks demonstrated significantly non-random modularity. The young brain network was decomposed into 3 major modules: central and posterior modules, which comprised mainly nodes with few inter-modular connections, and a dorsal fronto-cingulo-parietal module, which comprised mainly nodes with extensive inter-modular connections. The mean network in the older group also included posterior, superior central and dorsal fronto-striato-thalamic modules but the number of intermodular connections to frontal modular regions was significantly reduced, whereas the number of connector nodes in posterior and central modules was increased. Crown Copyright (C) 2008 Published by Elsevier Inc. All rights reserved.",NEUROIMAGE
WOS:000322361200050,"Kassam, KS; Markey, AR; Cherkassky, VL; Loewenstein, G; Just, MA",Identifying Emotions on the Basis of Neural Activation,2013,10.1371/journal.pone.0066032,1,97,10,top,1.2125,"We attempt to determine the discriminability and organization of neural activation corresponding to the experience of specific emotions. Method actors were asked to self-induce nine emotional states (anger, disgust, envy, fear, happiness, lust, pride, sadness, and shame) while in an fMRI scanner. Using a Gaussian Naive Bayes pooled variance classifier, we demonstrate the ability to identify specific emotions experienced by an individual at well over chance accuracy on the basis of: 1) neural activation of the same individual in other trials, 2) neural activation of other individuals who experienced similar trials, and 3) neural activation of the same individual to a qualitatively different type of emotion induction. Factor analysis identified valence, arousal, sociality, and lust as dimensions underlying the activation patterns. These results suggest a structure for neural representations of emotion and inform theories of emotional processing.",PLOS ONE
WOS:000280503500019,"Peelen, MV; Atkinson, AP; Vuilleumier, P",Supramodal Representations of Perceived Emotions in the Human Brain,2010,10.1523/JNEUROSCI.2161-10.2010,1,235,18,top,1.186868687,"Basic emotional states (such as anger, fear, and joy) can be similarly conveyed by the face, the body, and the voice. Are there human brain regions that represent these emotional mental states regardless of the sensory cues from which they are perceived? To address this question, in the present study participants evaluated the intensity of emotions perceived from face movements, body movements, or vocal intonations, while their brain activity was measured with functional magnetic resonance imaging (fMRI). Using multivoxel pattern analysis, we compared the similarity of response patterns across modalities to test for brain regions in which emotion-specific patterns in one modality (e. g., faces) could predict emotion-specific patterns in another modality (e. g., bodies). A whole-brain searchlight analysis revealed modality-independent but emotion category-specific activity patterns in medial prefrontal cortex (MPFC) and left superior temporal sulcus (STS). Multivoxel patterns in these regions contained information about the category of the perceived emotions (anger, disgust, fear, happiness, sadness) across all modality comparisons (face-body, face-voice, body-voice), and independently of the perceived intensity of the emotions. No systematic emotion-related differences were observed in the overall amplitude of activation in MPFC or STS. These results reveal supramodal representations of emotions in high-level brain areas previously implicated in affective processing, mental state attribution, and theory-of-mind. We suggest that MPFC and STS represent perceived emotions at an abstract, modality-independent level, and thus play a key role in the understanding and categorization of others' emotional mental states.",JOURNAL OF NEUROSCIENCE
WOS:000304445800031,"Tamir, DI; Mitchell, JP",Disclosing information about the self is intrinsically rewarding,2012,10.1073/pnas.1202129109,4,180,17,top,1.176470588,"Humans devote 30-40% of speech output solely to informing others of their own subjective experiences. What drives this propensity for disclosure? Here, we test recent theories that individuals place high subjective value on opportunities to communicate their thoughts and feelings to others and that doing so engages neural and cognitive mechanisms associated with reward. Five studies provided support for this hypothesis. Self-disclosure was strongly associated with increased activation in brain regions that form the mesolimbic dopamine system, including the nucleus accumbens and ventral tegmental area. Moreover, individuals were willing to forgo money to disclose about the self. Two additional studies demonstrated that these effects stemmed from the independent value that individuals placed on self-referential thought and on simply sharing information with others. Together, these findings suggest that the human tendency to convey information about personal experience may arise from the intrinsic value associated with self-disclosure.",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
WOS:000263295400043,"Takahashi, H; Kato, M; Matsuura, M; Mobbs, D; Suhara, T; Okubo, Y",When Your Gain Is My Pain and Your Pain Is My Gain: Neural Correlates of Envy and Schadenfreude,2009,10.1126/science.1165604,1,268,19,top,1.175438596,"We often evaluate the self and others from social comparisons. We feel envy when the target person has superior and self- relevant characteristics. Schadenfreude occurs when envied persons fall from grace. To elucidate the neurocognitive mechanisms of envy and schadenfreude, we conducted two functional magnetic resonance imaging studies. In study one, the participants read information concerning target persons characterized by levels of possession and self- relevance of comparison domains. When the target person's possession was superior and self- relevant, stronger envy and stronger anterior cingulate cortex ( ACC) activation were induced. In study two, stronger schadenfreude and stronger striatum activation were induced when misfortunes happened to envied persons. ACC activation in study one predicted ventral striatum activation in study two. Our findings document mechanisms of painful emotion, envy, and a rewarding reaction, schadenfreude.",SCIENCE
