AU	TI	PY	DI	UT	exclusion_flagged	study_number	sample_size	coder	coder_comment	resolver	resolver_comment	excluded
"Beldzik, E; Domagalik, A; Oginska, H; Marek, T; Fafrowicz, M"	Brain Activations Related to Saccadic Response Conflict are not Sensitive to Time on Task	2015	10.3389/fnhum.2015.00664	WOS:000366801300001	yes	1	23	JvB	not social: cognitive	AV	leave in	
"van der Velde, J; Gromann, PM; Swart, M; Wiersma, D; de Haan, L; Bruggeman, R; Krabbendam, L; Aleman, A"	Alexithymia influences brain activation during emotion perception but not regulation	2015	10.1093/scan/nsu056	WOS:000350108800017	Yes	1	51	JvB	Not social	AV	"leave in, emotion perception is social"	
"Nicolle, A; Bach, DR; Frith, C; Dolan, RJ"	Amygdala involvement in self-blame regret	2011	10.1080/17470919.2010.506128	WOS:000288275800006	Yes	1	16	JvB	Not social	AV	"leave in, emotions are social"	
"Nakamura, Y; Tokumori, K; Tanabe, HC; Yoshiura, T; Kobayashi, K; Nakamura, Y; Honda, H; Yoshiura, K; Goto, TK"	Localization of the primary taste cortex by contrasting passive and attentive conditions	2013	10.1007/s00221-013-3499-z	WOS:000318999500004	maybe	1	18	JvB	not social: about taste	AV	leave in	
"Johnston, SJ; Linden, DEJ; Shapiro, KL"	Functional Imaging Reveals Working Memory and Attention Interact to Produce the Attentional Blink	2012	10.1162/jocn_a_00054	WOS:000297324600003	yes	1	16	JvB	not social: attentional blink	AV	leave in	
"Schippers, MB; Keysers, C"	Mapping the flow of information within the putative mirror neuron system during gesture observation	2011	10.1016/j.neuroimage.2011.02.018	WOS:000291624100006	maybe	1	18	JvB	not social: cognitive	AV	leave in	
"McNamee, D; Rangel, A; O'Doherty, JP"	Category-dependent and category-independent goal-value codes in human ventromedial prefrontal cortex	2013	10.1038/nn.3337	WOS:000316723700019	yes	1	13	JvB	not social: cognitive	AV	leave in	beetje vaag
"Guterstam, A; Bjornsdotter, M; Bergouignan, L; Gentile, G; Li, TQ; Ehrsson, HH"	Decoding illusory self-location from activity in the human hippocampus	2015	10.3389/fnhum.2015.00412	WOS:000360263400001	yes	1	6	JvB	not social: episodic/spatial memory & spatial navigation	AV	leave in	
"Berken, JA; Gracco, VL; Chen, JK; Watkins, KE; Baum, S; Callahan, M; Klein, D"	Neural activation in speech production and reading aloud in native and non-native languages	2015	10.1016/j.neuroimage.2015.03.016	WOS:000353203400021	yes	1	37	JvB	not social: linguistic research	AV	leave in	
"Tu, L; Wang, JJ; Abutalebi, J; Jiang, B; Pan, XM; Li, M; Gao, W; Yang, YC; Liang, BS; Lu, Z; Huang, RW"	Language exposure induced neuroplasticity in the bilingual brain: A follow-up fMRI study	2015	10.1016/j.cortex.2014.09.019	WOS:000351248400003	yes	1	27 or 10	JvB	not social: linguistic research	AV	leave in	
"Mei, LL; Xue, G; Lu, ZL; Chen, CS; Zhang, MX; He, QH; Wei, M; Dong, Q"	Learning to read words in a new language shapes the neural organization of the prior languages	2014	10.1016/j.neuropsychologia.2014.10.019	WOS:000348014700018	yes	1	17/21	JvB	not social: linguistic research	AV	leave in	
"Atlas, LY; Lindquist, MA; Bolger, N; Wager, TD"	Brain mediators of the effects of noxious heat on pain	2014	10.1016/j.pain.2014.05.015	WOS:000340309800027	yes	1	26	JvB	not social: pain	AV	leave in	
"Nees, F; Becker, S; Millenet, S; Banaschewski, T; Poustka, L; Bokde, A; Bromberg, U; Buchel, C; Conrod, PJ; Desrivieres, S; Frouin, V; Gallinat, J; Garavan, H; Heinz, A; Ittermann, B; Martinot, JL; Orfanos, DP; Paus, T; Smolka, MN; Walter, H; Whelan, R; Schumann, G; Flor, H"	Brain substrates of reward processing and the mu-opioid receptor: a pathway into pain?	2017	10.1097/j.pain.0000000000000720	WOS:000397015500005	maybe	1	644?	JvB	not social: pain and reward	AV	leave in	
"Smallwood, J; Gorgolewski, KJ; Golchert, J; Ruby, FJM; Engen, H; Baird, B; Vinski, MT; Schooler, JW; Margulies, DS"	The default modes of reading: modulation of posterior cingulate and medial prefrontal cortex connectivity associated with comprehension and task focus while reading	2013	10.3389/fnhum.2013.00734	WOS:000326785000001	yes	1	42	JvB	not social: research done on reading. Also used existing database	AV	leave in	
"Vachon-Presseau, E; Roy, M; Woo, CW; Kunz, M; Martel, MO; Sullivan, MJ; Jackson, PL; Wager, TD; Rainville, P"	Multiple faces of pain: effects of chronic pain on the brain regulation of facial expression	2016	10.1097/j.pain.0000000000000587	WOS:000386014000030	yes	1	40	JvB	patient group	AV	leave in	
"Kareken, DA; Bragulat, V; Dzemidzic, M; Cox, C; Talavage, T; Davidson, D; O'Connor, SJ"	Family history of alcoholism mediates the frontal response to alcoholic drink odors and alcohol in at-risk drinkers	2010	10.1016/j.neuroimage.2009.11.076	WOS:000274810100027	yes	1	26	JvB	patient participants	AV	leave in	
"Carpenter, KL; Wills, AJ; Benattayallah, A; Milton, F"	A Comparison of the neural correlates that underlie rule-based and information-integration category learning	2016	10.1002/hbm.23259	WOS:000383864500014	Yes	1	44	JvB	Not social	AV	"leave in (many things are not social as in between people, but psychological non the less)"	
"Dubois, J; Galdi, P; Paul, LK; Adolphs, R"	A distributed brain network predicts general intelligence from resting-state human neuroimaging data	2018	10.1098/rstb.2017.0284	WOS:000441443800005	Yes	1	884?	JvB	Not social	AV	"leave in (many things are not social as in between people, but psychological non the less)"	
"Greenberg, T; Carlson, JM; Rubin, D; Cha, J; Mujica-Parodi, L"	Anticipation of high arousal aversive and positive movie clips engages common and distinct neural substrates	2015	10.1093/scan/nsu091	WOS:000353546800019	Yes	1	25	JvB	Not social	AV	"leave in (many things are not social as in between people, but psychological non the less)"	
