"target_doi","year","citation_count","PY","years_since_pub","scite_total_citation_count"
"10.1002/brb3.1063",2018,1,2018,0,1
"10.1002/brb3.1063",2019,0,2018,1,1
"10.1002/brb3.1063",2020,0,2018,2,1
"10.1002/brb3.242",2014,0,2014,0,78
"10.1002/brb3.242",2015,6,2014,1,78
"10.1002/brb3.242",2016,5,2014,2,78
"10.1002/brb3.242",2017,14,2014,3,78
"10.1002/brb3.242",2018,10,2014,4,78
"10.1002/brb3.242",2019,18,2014,5,78
"10.1002/brb3.242",2020,25,2014,6,78
"10.1002/brb3.251",2014,0,2014,0,24
"10.1002/brb3.251",2015,0,2014,1,24
"10.1002/brb3.251",2016,4,2014,2,24
"10.1002/brb3.251",2017,7,2014,3,24
"10.1002/brb3.251",2018,7,2014,4,24
"10.1002/brb3.251",2019,3,2014,5,24
"10.1002/brb3.251",2020,3,2014,6,24
"10.1002/brb3.464",2016,0,2016,0,1
"10.1002/brb3.464",2017,0,2016,1,1
"10.1002/brb3.464",2018,0,2016,2,1
"10.1002/brb3.464",2019,1,2016,3,1
"10.1002/brb3.464",2020,0,2016,4,1
"10.1002/brb3.476",2016,0,2016,0,9
"10.1002/brb3.476",2017,1,2016,1,9
"10.1002/brb3.476",2018,4,2016,2,9
"10.1002/brb3.476",2019,2,2016,3,9
"10.1002/brb3.476",2020,2,2016,4,9
"10.1002/brb3.500",2016,0,2016,0,3
"10.1002/brb3.500",2017,0,2016,1,3
"10.1002/brb3.500",2018,1,2016,2,3
"10.1002/brb3.500",2019,2,2016,3,3
"10.1002/brb3.500",2020,0,2016,4,3
"10.1002/brb3.550",2016,0,2016,0,6
"10.1002/brb3.550",2017,0,2016,1,6
"10.1002/brb3.550",2018,5,2016,2,6
"10.1002/brb3.550",2019,1,2016,3,6
"10.1002/brb3.550",2020,0,2016,4,6
"10.1002/brb3.572",2016,0,2016,0,13
"10.1002/brb3.572",2017,3,2016,1,13
"10.1002/brb3.572",2018,2,2016,2,13
"10.1002/brb3.572",2019,4,2016,3,13
"10.1002/brb3.572",2020,4,2016,4,13
"10.1002/brb3.660",2017,0,2017,0,10
"10.1002/brb3.660",2018,1,2017,1,10
"10.1002/brb3.660",2019,3,2017,2,10
"10.1002/brb3.660",2020,6,2017,3,10
"10.1002/brb3.840",2017,0,2017,0,1
"10.1002/brb3.840",2018,1,2017,1,1
"10.1002/brb3.840",2019,0,2017,2,1
"10.1002/brb3.840",2020,0,2017,3,1
"10.1002/brb3.943",2018,0,2018,0,6
"10.1002/brb3.943",2019,2,2018,1,6
"10.1002/brb3.943",2020,4,2018,2,6
"10.1002/dev.21599",2018,0,2018,0,19
"10.1002/dev.21599",2019,8,2018,1,19
"10.1002/dev.21599",2020,11,2018,2,19
"10.1002/ejp.928",2017,1,2017,0,4
"10.1002/ejp.928",2018,0,2017,1,4
"10.1002/ejp.928",2019,1,2017,2,4
"10.1002/ejp.928",2020,2,2017,3,4
"10.1002/hast.294",2014,1,2014,0,20
"10.1002/hast.294",2015,3,2014,1,20
"10.1002/hast.294",2016,7,2014,2,20
"10.1002/hast.294",2017,0,2014,3,20
"10.1002/hast.294",2018,3,2014,4,20
"10.1002/hast.294",2019,3,2014,5,20
"10.1002/hast.294",2020,3,2014,6,20
"10.1002/hast.295",2014,4,2014,0,53
"10.1002/hast.295",2015,4,2014,1,53
"10.1002/hast.295",2016,7,2014,2,53
"10.1002/hast.295",2017,3,2014,3,53
"10.1002/hast.295",2018,2,2014,4,53
"10.1002/hast.295",2019,25,2014,5,53
"10.1002/hast.295",2020,8,2014,6,53
"10.1002/hbm.20506",2009,1,2009,0,26
"10.1002/hbm.20506",2010,3,2009,1,26
"10.1002/hbm.20506",2011,2,2009,2,26
"10.1002/hbm.20506",2012,0,2009,3,26
"10.1002/hbm.20506",2013,6,2009,4,26
"10.1002/hbm.20506",2014,2,2009,5,26
"10.1002/hbm.20506",2015,1,2009,6,26
"10.1002/hbm.20506",2016,1,2009,7,26
"10.1002/hbm.20506",2017,2,2009,8,26
"10.1002/hbm.20506",2018,3,2009,9,26
"10.1002/hbm.20506",2019,4,2009,10,26
"10.1002/hbm.20506",2020,1,2009,11,26
"10.1002/hbm.20510",2009,7,2009,0,104
"10.1002/hbm.20510",2010,5,2009,1,104
"10.1002/hbm.20510",2011,18,2009,2,104
"10.1002/hbm.20510",2012,8,2009,3,104
"10.1002/hbm.20510",2013,6,2009,4,104
"10.1002/hbm.20510",2014,8,2009,5,104
"10.1002/hbm.20510",2015,9,2009,6,104
"10.1002/hbm.20510",2016,11,2009,7,104
"10.1002/hbm.20510",2017,9,2009,8,104
"10.1002/hbm.20510",2018,9,2009,9,104
"10.1002/hbm.20510",2019,8,2009,10,104
"10.1002/hbm.20510",2020,6,2009,11,104
"10.1002/hbm.20565",2009,4,2009,0,90
"10.1002/hbm.20565",2010,10,2009,1,90
"10.1002/hbm.20565",2011,2,2009,2,90
"10.1002/hbm.20565",2012,15,2009,3,90
"10.1002/hbm.20565",2013,9,2009,4,90
"10.1002/hbm.20565",2014,6,2009,5,90
"10.1002/hbm.20565",2015,9,2009,6,90
"10.1002/hbm.20565",2016,5,2009,7,90
"10.1002/hbm.20565",2017,8,2009,8,90
"10.1002/hbm.20565",2018,9,2009,9,90
"10.1002/hbm.20565",2019,7,2009,10,90
"10.1002/hbm.20565",2020,6,2009,11,90
"10.1002/hbm.20591",2009,4,2009,0,51
"10.1002/hbm.20591",2010,5,2009,1,51
"10.1002/hbm.20591",2011,8,2009,2,51
"10.1002/hbm.20591",2012,8,2009,3,51
"10.1002/hbm.20591",2013,5,2009,4,51
"10.1002/hbm.20591",2014,6,2009,5,51
"10.1002/hbm.20591",2015,3,2009,6,51
"10.1002/hbm.20591",2016,0,2009,7,51
"10.1002/hbm.20591",2017,2,2009,8,51
"10.1002/hbm.20591",2018,4,2009,9,51
"10.1002/hbm.20591",2019,2,2009,10,51
"10.1002/hbm.20591",2020,4,2009,11,51
"10.1002/hbm.20604",2009,2,2009,0,10
"10.1002/hbm.20604",2010,2,2009,1,10
"10.1002/hbm.20604",2011,1,2009,2,10
"10.1002/hbm.20604",2012,2,2009,3,10
"10.1002/hbm.20604",2013,0,2009,4,10
"10.1002/hbm.20604",2014,0,2009,5,10
"10.1002/hbm.20604",2015,0,2009,6,10
"10.1002/hbm.20604",2016,1,2009,7,10
"10.1002/hbm.20604",2017,1,2009,8,10
"10.1002/hbm.20604",2018,1,2009,9,10
"10.1002/hbm.20604",2019,0,2009,10,10
"10.1002/hbm.20604",2020,0,2009,11,10
"10.1002/hbm.20699",2009,1,2009,0,11
"10.1002/hbm.20699",2010,0,2009,1,11
"10.1002/hbm.20699",2011,0,2009,2,11
"10.1002/hbm.20699",2012,1,2009,3,11
"10.1002/hbm.20699",2013,2,2009,4,11
"10.1002/hbm.20699",2014,1,2009,5,11
"10.1002/hbm.20699",2015,1,2009,6,11
"10.1002/hbm.20699",2016,1,2009,7,11
"10.1002/hbm.20699",2017,1,2009,8,11
"10.1002/hbm.20699",2018,0,2009,9,11
"10.1002/hbm.20699",2019,1,2009,10,11
"10.1002/hbm.20699",2020,2,2009,11,11
"10.1002/hbm.20707",2009,8,2009,0,167
"10.1002/hbm.20707",2010,12,2009,1,167
"10.1002/hbm.20707",2011,17,2009,2,167
"10.1002/hbm.20707",2012,12,2009,3,167
"10.1002/hbm.20707",2013,18,2009,4,167
"10.1002/hbm.20707",2014,16,2009,5,167
"10.1002/hbm.20707",2015,18,2009,6,167
"10.1002/hbm.20707",2016,16,2009,7,167
"10.1002/hbm.20707",2017,10,2009,8,167
"10.1002/hbm.20707",2018,12,2009,9,167
"10.1002/hbm.20707",2019,13,2009,10,167
"10.1002/hbm.20707",2020,15,2009,11,167
"10.1002/hbm.20711",2009,3,2009,0,97
"10.1002/hbm.20711",2010,6,2009,1,97
"10.1002/hbm.20711",2011,8,2009,2,97
"10.1002/hbm.20711",2012,7,2009,3,97
"10.1002/hbm.20711",2013,13,2009,4,97
"10.1002/hbm.20711",2014,16,2009,5,97
"10.1002/hbm.20711",2015,8,2009,6,97
"10.1002/hbm.20711",2016,5,2009,7,97
"10.1002/hbm.20711",2017,13,2009,8,97
"10.1002/hbm.20711",2018,4,2009,9,97
"10.1002/hbm.20711",2019,8,2009,10,97
"10.1002/hbm.20711",2020,6,2009,11,97
"10.1002/hbm.20716",2009,0,2009,0,28
"10.1002/hbm.20716",2010,3,2009,1,28
"10.1002/hbm.20716",2011,2,2009,2,28
"10.1002/hbm.20716",2012,4,2009,3,28
"10.1002/hbm.20716",2013,1,2009,4,28
"10.1002/hbm.20716",2014,5,2009,5,28
"10.1002/hbm.20716",2015,3,2009,6,28
"10.1002/hbm.20716",2016,1,2009,7,28
"10.1002/hbm.20716",2017,3,2009,8,28
"10.1002/hbm.20716",2018,1,2009,9,28
"10.1002/hbm.20716",2019,3,2009,10,28
"10.1002/hbm.20716",2020,2,2009,11,28
"10.1002/hbm.20800",2009,0,2009,0,109
"10.1002/hbm.20800",2010,3,2009,1,109
"10.1002/hbm.20800",2011,8,2009,2,109
"10.1002/hbm.20800",2012,11,2009,3,109
"10.1002/hbm.20800",2013,7,2009,4,109
"10.1002/hbm.20800",2014,12,2009,5,109
"10.1002/hbm.20800",2015,15,2009,6,109
"10.1002/hbm.20800",2016,13,2009,7,109
"10.1002/hbm.20800",2017,7,2009,8,109
"10.1002/hbm.20800",2018,12,2009,9,109
"10.1002/hbm.20800",2019,11,2009,10,109
"10.1002/hbm.20800",2020,10,2009,11,109
"10.1002/hbm.20852",2010,0,2010,0,37
"10.1002/hbm.20852",2011,4,2010,1,37
"10.1002/hbm.20852",2012,3,2010,2,37
"10.1002/hbm.20852",2013,8,2010,3,37
"10.1002/hbm.20852",2014,5,2010,4,37
"10.1002/hbm.20852",2015,2,2010,5,37
"10.1002/hbm.20852",2016,2,2010,6,37
"10.1002/hbm.20852",2017,2,2010,7,37
"10.1002/hbm.20852",2018,6,2010,8,37
"10.1002/hbm.20852",2019,2,2010,9,37
"10.1002/hbm.20852",2020,3,2010,10,37
"10.1002/hbm.20895",2010,2,2010,0,57
"10.1002/hbm.20895",2011,2,2010,1,57
"10.1002/hbm.20895",2012,1,2010,2,57
"10.1002/hbm.20895",2013,8,2010,3,57
"10.1002/hbm.20895",2014,8,2010,4,57
"10.1002/hbm.20895",2015,4,2010,5,57
"10.1002/hbm.20895",2016,2,2010,6,57
"10.1002/hbm.20895",2017,6,2010,7,57
"10.1002/hbm.20895",2018,9,2010,8,57
"10.1002/hbm.20895",2019,5,2010,9,57
"10.1002/hbm.20895",2020,10,2010,10,57
"10.1002/hbm.20913",2010,1,2010,0,108
"10.1002/hbm.20913",2011,5,2010,1,108
"10.1002/hbm.20913",2012,4,2010,2,108
"10.1002/hbm.20913",2013,8,2010,3,108
"10.1002/hbm.20913",2014,8,2010,4,108
"10.1002/hbm.20913",2015,5,2010,5,108
"10.1002/hbm.20913",2016,7,2010,6,108
"10.1002/hbm.20913",2017,1,2010,7,108
"10.1002/hbm.20913",2018,5,2010,8,108
"10.1002/hbm.20913",2019,6,2010,9,108
