"AU"	"TI"	"PY"	"DI"	"UT"
"Sharp, PB; Heller, W; Telzer, EH"	"Selective neural sensitivity to familial threat in adolescents with weak family bonds"	"2019"	"10.1080/17470919.2017.1397545"	"WOS:000452724400007"
"Liu, ZY; Zheng, L; Li, L; Xu, JL; Cheng, XM; Guo, XY; Mulcahy, J; Xu, M"	"Social comparison modulates the neural responses to regret and subsequent risk-taking behavior"	"2018"	"10.1093/scan/nsy066"	"WOS:000456664300006"
"Morelli, SA; Knutson, B; Zaki, J"	"Neural sensitivity to personal and vicarious reward differentially relates to prosociality and well-being"	"2018"	"10.1093/scan/nsy056"	"WOS:000444326700005"
"Chester, DS; Lynam, DR; Milich, R; DeWall, CN"	"Neural mechanisms of the rejection-aggression link"	"2018"	"10.1093/scan/nsy025"	"WOS:000434096400006"
"Saarimaki, H; Ejtehadian, LF; Glerean, E; Jaaskelainen, IP; Vuilleumier, P; Sams, M; Nummenmaa, L"	"Distributed affective space represents multiple emotion categories across the human brain"	"2018"	"10.1093/scan/nsy018"	"WOS:000434096400003"
"van Schie, CC; Chiu, CD; Rombouts, SARB; Heiser, WJ; Elzinga, BM"	"When compliments do not hit but critiques do: an fMRI study into self-esteem and self-knowledge in processing social feedback"	"2018"	"10.1093/scan/nsy014"	"WOS:000432296800006"
"Klasen, M; von Marschall, C; Isman, G; Zvyagintsev, M; Gur, RC; Mathiak, K"	"Prosody production networks are modulated by sensory cues and social context"	"2018"	"10.1093/scan/nsy015"	"WOS:000432296800007"
"Wasylyshyn, N; Falk, BH; Garcia, JO; Cascio, CN; O'Donnell, MB; Bingham, CR; Simons-Morton, B; Vettel, JM; Falk, EB"	"Global brain dynamics during social exclusion predict subsequent behavioral conformity"	"2018"	"10.1093/scan/nsy007"	"WOS:000427017200005"
"Karle, KN; Ethofer, T; Jacob, H; Bruck, C; Erb, M; Lotze, M; Nizielski, S; Schutz, A; Wildgruber, D; Kreifelts, B"	"Neurobiological correlates of emotional intelligence in voice and face perception networks"	"2018"	"10.1093/scan/nsy001"	"WOS:000427017200010"
"Eres, R; Louis, WR; Molenberghs, P"	"Common and distinct neural networks involved in fMRI studies investigating morality: an ALE meta-analysis"	"2018"	"10.1080/17470919.2017.1357657"	"WOS:000432248300001"
