Term,"exclude (yes, maybe) initial","class (disorder, method, non-human, patients/disorder, other)",comment (initial),comment (Anna),comment (Peder),exclude - final
adhd,,,word selected from top 100 most popular key terms and used to provide initial filtered data that the rest of the keywrds here are extracted from,,,yes
animal,,,word selected from top 100 most popular key terms and used to provide initial filtered data that the rest of the keywrds here are extracted from,,,yes
monkey,,,word selected from top 100 most popular key terms and used to provide initial filtered data that the rest of the keywrds here are extracted from,,,yes
ochrogaster,,,word selected from top 100 most popular key terms and used to provide initial filtered data that the rest of the keywrds here are extracted from,,,yes
rat,,,word selected from top 100 most popular key terms and used to provide initial filtered data that the rest of the keywrds here are extracted from,,,yes
mouse,,,word selected from top 100 most popular key terms and used to provide initial filtered data that the rest of the keywrds here are extracted from,,,yes
autism,,,word selected from top 100 most popular key terms and used to provide initial filtered data that the rest of the keywrds here are extracted from,,,yes
eeg,,,word selected from top 100 most popular key terms and used to provide initial filtered data that the rest of the keywrds here are extracted from,,,yes
depression,,,word selected from top 100 most popular key terms and used to provide initial filtered data that the rest of the keywrds here are extracted from,,,yes
disorder,,,word selected from top 100 most popular key terms and used to provide initial filtered data that the rest of the keywrds here are extracted from,,,yes
disorders,,,word selected from top 100 most popular key terms and used to provide initial filtered data that the rest of the keywrds here are extracted from,,,yes
schizophrenia,,,word selected from top 100 most popular key terms and used to provide initial filtered data that the rest of the keywrds here are extracted from,,,yes
potential n270,yes,method,,,,yes
split-brain,yes,patients/disorder,,,,yes
split-brain patient,yes,patients/disorder,,,,yes
1st-episode psychosis,yes,disorder,,,,yes
2-month-olds,yes,other,unfeasible participant population,we can also justify this by saying it is developmental instead of social neuroscience,,yes
2-to 5-year-old children,yes,other,unfeasible participant population,we can also justify this by saying it is developmental instead of social neuroscience,,yes
7-month-old infants,yes,other,unfeasible participant population,we can also justify this by saying it is developmental instead of social neuroscience,,yes
8-week-old infants,yes,other,unfeasible participant population,we can also justify this by saying it is developmental instead of social neuroscience,,yes
absence epilepsy,yes,disorder,,,,yes
abstinent alcoholics,yes,disorder,,,,yes
acquired dyslexias,yes,disorder,,,,yes
acquired prosopagnosia,yes,disorder,,,,yes
acquired sociopathy,yes,disorder,,,,yes
acute alcohol-intoxication,yes,other,drug,,,yes
acute myocardial-infarction,yes,disorder,,,,yes
acute stroke,yes,disorder,,,,yes
adult brain injury,yes,disorder,,,,yes
adult male baboons,yes,non-human,,,,yes
adult rats,yes,non-human,,,,yes
alcohol abuse,yes,disorder,,,,yes
alcohol addiction,yes,disorder,,,,yes
alcoholism-related brain damage,yes,disorder,,,,yes
als,yes,disorder,,,,yes
als patients,yes,disorder,,,,yes
alzheimer's disease,yes,disorder,,,,yes
alzheimers-disease,yes,disorder,,,,yes
amnesic patients,yes,disorder,,,,yes
amygdalotomy,yes,other,invasive,,,yes
anorexia-nervosa,yes,disorder,,,,yes
anosognosia,yes,disorder,,,,yes
anterior temporal lobectomy,yes,disorder,,,,yes
antiepileptic drug-treatment,yes,disorder,,,,yes
aphasic patients,yes,disorder,,,,yes
aphasic stroke,yes,disorder,,,,yes
avian brain,yes,non-human,,,,yes
avian cognition,yes,non-human,,,,yes
awake' surgery,yes,other,invasive,,,yes
axonal injury,yes,disorder,,,,yes
baboons papio-papio,yes,non-human,,,,yes
bidirectional synesthesia,yes,disorder,,,,yes
bilingual aphasia,yes,disorder,,,,yes
bilingual aphasia test,yes,disorder,,,,yes
birds,yes,non-human,,,,yes
birdsong,yes,non-human,,,,yes
blindness,yes,disorder,,,,yes
blunt head-injury,yes,disorder,,,,yes
borderline personality,yes,disorder,,,,yes
bowel-syndrome patients,yes,disorder,,,,yes
brain lesion,yes,other,invasive,,,yes
brain tumor,yes,disorder,,,,yes
brain-damage,yes,disorder,,,,yes
brain-injury,yes,disorder,,,,yes
brain-lesions,yes,other,invasive,,,yes
brain-stimulation,yes,method,,,,yes
breast cancer,yes,disorder,,,,yes
breast-cancer,yes,disorder,,,,yes
breeding songbird,yes,non-human,,,,yes
callithrix-jacchus,yes,non-human,,,,yes
canine,yes,non-human,,,,yes
canine brain,yes,non-human,,,,yes
canine fmri,yes,non-human,,,,yes
canis-familiaris,yes,non-human,,,,yes
cardiac-arrest,yes,disorder,,,,yes
cardiovascular-disease,yes,disorder,,,,yes
cerebral-palsy,yes,disorder,,,,yes
child molesters,yes,disorder,,,,yes
childhood craniopharyngioma,yes,disorder,,,,yes
children with acquired aphasia,yes,disorder,,,,yes
clinical pain,yes,disorder,,,,yes
closed-head-injury,yes,disorder,,,,yes
co2-laser stimulation,yes,method,,,,yes
cocaine addiction,yes,disorder,,,,yes
cocaine-dependent patients,yes,disorder,,,,yes
cognitive-affective syndrome,yes,disorder,,,,yes
colorectal-cancer,yes,disorder,,,,yes
combined erp,yes,method,,,,yes
common marmoset,yes,non-human,,,,yes
complete androgen insensitivity syndrome,yes,disorder,,,,yes
compulsive drug-seeking,yes,disorder,,,,yes
concurrent tacs and fmri,yes,method,,,,yes
concurrent tms-fmri,yes,method,,,,yes
congenital adrenal-hyperplasia,yes,disorder,,,,yes
congenital amusia,yes,disorder,,,,yes
congenital brain lesion,yes,disorder,,,,yes
congenital cytomegalovirus-infection,yes,disorder,,,,yes
congenital prosopagnosia,yes,disorder,,,,yes
congenitally blind,yes,disorder,,,,yes
congenitally deaf,yes,disorder,,,,yes
conjoined twins,yes,disorder,,,,yes
coronary-heart-disease,yes,disorder,,,,yes
cortex lesions,yes,other,invasive,,,yes
cortical atrophy,yes,disorder,,,,yes
cortical-lesions,yes,other,invasive,,,yes
corticobasal degeneration,yes,disorder,,,,yes
corticobasal syndrome,yes,disorder,,,,yes
craniopharyngioma,yes,disorder,,,,yes
criminal psychopaths,yes,disorder,,,,yes
cytomegalovirus-infection,yes,disorder,,,,yes
deep brain-stimulation,yes,method,,,,yes
dementia,yes,disorder,,,,yes
dental phobia,yes,disorder,,,,yes
dependent patients,yes,disorder,,,,yes
dependent tms reveals,yes,method,,,,yes
detoxified alcoholics,yes,disorder,,,,yes
developmental dyscalculia,yes,disorder,,,,yes
developmental dyslexia,yes,disorder,,,,yes
developmental prosopagnosia,yes,disorder,,,,yes
developmental prosopagnosics,yes,disorder,,,,yes
diabetes-mellitus,yes,disorder,,,,yes
differential-diagnosis,yes,disorder,,,,yes
diffuse axonal injury,yes,disorder,,,,yes
diffuse optical tomography,yes,method,,,,yes
direct-current stimulation,yes,disorder,,,,yes
disciplinary double consciousness,yes,disorder,,,,yes
disconnection syndrome,yes,disorder,,,,yes
disconnexion syndromes,yes,disorder,,,,yes
dog cognition,yes,non-human,,,,yes
dog neuroimaging,yes,non-human,,,,yes
dogs,yes,non-human,,,,yes
dolphin tursiops-truncatus,yes,non-human,,,,yes
domestic dogs,yes,non-human,,,,yes
dopamine dyregulation syndrome,yes,disorder,,,,yes
down syndrome,yes,disorder,,,,yes
drug-abusing volunteers,yes,disorder,,,,yes
drug-addiction,yes,disorder,,,,yes
