id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	action observation	0.7515	-0.103	1	51	111	32	2013.6562	21.9688	0.7567
2	actor	0.5219	0.0078	1	90	200	54	2013.1481	21.8519	0.7753
3	aggression	-0.6547	0.2352	3	67	115	27	2015	25.5185	1.2135
4	alcohol	-0.3178	0.0401	4	56	87	25	2014.32	12.2	0.6356
5	amygdala activation	0.0809	0.4795	5	75	147	35	2013.1429	35.0571	0.9448
6	amygdala activity	-0.018	0.6394	5	69	145	34	2013.3824	32.8824	1.1595
7	amygdala response	0.1037	0.6763	5	45	83	22	2012.4091	33.9091	1.0594
8	anger	0.4649	0.5127	5	74	162	32	2013.4062	32.0625	1.497
9	angry face	0.293	0.7668	5	33	67	21	2013.1905	23.3333	0.8337
10	angular gyrus	0.8044	-0.1452	1	79	151	38	2014.7895	22.1842	0.9468
11	anticipation	-0.466	-0.2488	2	88	216	45	2013.8667	28.9111	1.026
12	auditory	1.1247	-0.0242	1	40	65	22	2013.4091	21.0909	0.6022
13	auditory cortex	1.1425	0.0534	1	42	67	22	2013	20.2273	0.6067
14	behavioral performance	0.5446	-0.3386	4	41	54	21	2014.1429	27.4286	0.9926
15	bilateral anterior insula	-0.3876	0.1374	2	62	88	18	2012.9444	26.0556	0.8795
16	blood oxygen level	0.3566	-0.3198	4	38	51	23	2014.3043	14.2609	1.0657
17	character	0.7651	-0.0463	1	68	121	30	2014.2667	17.1667	0.6983
18	chinese	1.2512	-0.3183	1	39	86	19	2014.6842	10.7368	0.5849
19	choice	-0.6156	-0.5225	2	119	494	124	2014.3065	28.3306	1.2651
20	cognitive reappraisal	0.0724	0.5425	5	27	46	15	2014.5333	28	1.2728
21	compassion	-0.3132	0.2946	3	36	55	17	2013.5294	48.2353	1.966
22	complexity	0.8117	-0.1127	1	56	87	27	2014.7407	10.2963	0.8044
23	comprehension	1.1465	-0.1128	1	86	272	63	2013.5873	18.4603	0.6959
24	computation	-0.4979	-0.6086	2	75	189	42	2014.2381	33.7619	1.5095
25	computational model	-0.2422	-0.3149	2	59	93	24	2014.4167	14.9167	0.7841
26	computer	-0.4193	-0.2315	2	77	151	30	2013.5333	21.0333	0.8307
27	conjunction analysis	1.1492	0.0983	1	46	74	22	2013.5909	19.1818	0.7315
28	cooperation	-0.8219	-0.1253	2	66	156	32	2014.9688	18.5	0.981
29	cyberball	-1.4481	0.4284	3	37	126	20	2015.05	20.75	1.1384
30	dacc	-0.6193	0.1274	3	80	158	31	2015.1935	15.6774	1.0137
31	decision	-0.5467	-0.2403	2	169	1052	233	2014.0987	21.9313	1.0567
32	decision making	-0.7738	-0.2807	2	140	704	154	2014.2273	20.9286	1.0691
33	decline	0.2261	-0.0786	4	61	75	25	2014.28	15.24	0.8455
34	default mode	0.3997	-0.2989	4	43	71	20	2015.2	29.3	1.959
35	default mode network	0.5554	-0.4133	4	77	181	60	2015.25	21.5333	1.3136
36	dictator game	-1.1401	0.0441	2	67	141	19	2015.3158	12.2632	0.9478
37	disgust	0.3027	0.3316	5	79	137	30	2013.7667	35.9333	1.4321
38	distress	-0.7907	0.4507	3	79	223	43	2014.4186	33.2093	1.3211
39	dlpfc	-0.2584	-0.1156	4	100	211	54	2015.1852	14.9444	1.0737
40	dmn	0.567	-0.4389	4	59	126	34	2015.7353	21.4412	1.3105
41	dorsal anterior cingulate cortex	-0.7765	0.1868	3	116	330	68	2014.75	21.2941	1.0662
42	dorsal striatum	-0.8622	-0.281	2	74	144	26	2014.4231	18.5	0.9619
