"UT","DI","AU","TI","PY","coder","sample_size_orig","sample_size_BA","sample_size_PhD","sample_size_final","matches_orig_BA","matches_orig_PhD","matches_BA_PhD","matches_all","irr_resolver","irr_resolver_comment"
"WOS:000208863700015","10.3389/fpsyg.2011.00003","Kret, ME; Pichon, S; Grezes, J; de Gelder, B","Men fear other men most: gender specific brain activations in perceiving threat from dynamic faces and bodies - an fMRI study",2011,"EJ",25,26,26,25,0,0,1,0,"PI","Seems coder BA and PhD missed a subtle reference to an excluded subject that was not mentioned along with the other exclusions. From the paper: One male participant pressed the same button for all stimuli and was excluded from analysis. "
"WOS:000209276900024","10.1016/j.nicl.2013.08.010","Maurage, P; Bestelmeyer, PEG; Rouger, J; Charest, I; Belin, P","Binge drinking influences the cerebral processing of vocal affective bursts in young adults",2013,"RvB",24,24,24,24,1,1,1,1,"PI",""
"WOS:000209702500005","10.1016/j.jadohealth.2013.12.035","Falk, EB; Cascio, CN; O'Donnell, MB; Carp, J; Tinney, FJ; Bingham, CR; Shope, JT; Ouimet, MC; Pradhan, AK; Simons-Morton, BG","Neural Responses to Exclusion Predict Susceptibility to Social Influence",2014,"GM",36,36,36,36,1,1,1,1,"PI",""
"WOS:000263162600004","10.1093/cercor/bhn104","Hennenlotter, A; Dresel, C; Castrop, F; Baumann, AOC; Wohlschlager, AM; Haslinger, B","The Link between Facial Feedback and Neural Activity within Central Circuitries of Emotion-025EFNew Insights from Botulinum Toxin-Induced Denervation of Frown Muscles",2009,"JvB",35,38,38,38,0,0,1,0,"PI","Behavioral data from 3/38 subjects excluded, but 38 subjects had fMRI data."
"WOS:000263815300007","10.1016/j.neuropsychologia.2008.09.023","Chiao, JY; Harada, T; Oby, ER; Li, Z; Parrish, T; Bridge, DJ","Neural representations of social status hierarchy in human inferior parietal cortex",2009,"GM",12,12,12,12,1,1,1,1,"PI",""
"WOS:000264387100007","10.1192/bjp.bp.108.053199","Fullam, RS; Mckie, S; Dolan, MC","Psychopathic traits and deception: functional magnetic resonance imaging study",2009,"RvB",24,24,24,24,1,1,1,1,"PI",""
"WOS:000264696300019","10.1002/hbm.20591","Meda, SA; Calhoun, VD; Astur, RS; Turner, BM; Ruopp, K; Pearlson, GD","Alcohol Dose Effects on Brain Circuits During Simulated Driving: An fMRI Study",2009,"TN",40,40,40,40,1,1,1,1,"PI",""
"WOS:000264790600015","10.1073/pnas.0901490106","Weber, B; Rangel, A; Wibral, M; Falk, A","The medial prefrontal cortex exhibits money illusion",2009,"JvB",18,22,18,18,0,1,0,0,"PI","Seems like coder BA forgot to exclude the head-motion cases from their sample size. From paper: Two subjects had to be excluded from the analysis because of scanner dysfunction and 4 because of excessive head movement"
"WOS:000265895400004","10.1080/17470910802553565","Volz, KG; Kessler, T; von Cramon, DY","In-group as part of the self: In-group favoritism is mediated by medial prefrontal cortex activation",2009,"JvB",20,20,16,16,1,0,0,0,"PI","n=20 initially, but quote from paper: Since identification with the in-group is a prerequisite for social identity processes to occur and therewith crucial for the interpretation of our data, we excluded the four low identifiers from all fMRI analyses."
"WOS:000268429400001","10.1016/j.neulet.2009.06.023","Osaka, N; Osaka, M","Gaze-related mimic word activates the frontal eye field and related network in the human brain: An fMRI study",2009,"RvB",20,20,20,20,1,1,1,1,"PI",""
"WOS:000268698700029","10.1002/hbm.20699","Sugiura, M; Wakusawa, K; Sekiguchi, A; Sassa, Y; Jeong, H; Horie, K; Sato, S; Kawashima, R","Extraction of Situational Meaning by Integrating Multiple Meanings in a Complex Environment: A Functional MRI Study",2009,"RvB",32,41,32,32,0,1,0,0,"PI","n=41 participated, but from paper:  data from 32
subjects (27 males, 5 females) were analyzed."
"WOS:000269035100083","10.1016/j.neuroimage.2009.05.011","Amting, JM; Miller, JE; Chow, M; Mitchell, DGV","Getting mixed messages: The impact of conflicting social signals on the brain's target emotional response",2009,"EJ",14,15,15,15,0,0,1,0,"PI","1/15 subjects was excluded as an outlier during one correlation analysis, but otherwise all 15 subjects seem to have been used."
"WOS:000269035100093","10.1016/j.neuroimage.2009.06.010","Kokal, I; Gazzola, V; Keysers, C","Acting together in and beyond the mirror neuron system",2009,"EJ",18,18,18,18,1,1,1,1,"PI",""
"WOS:000269360700010","10.1016/j.brainres.2009.05.075","Trautmann, SA; Fehr, T; Herrmann, M","Emotions in motion: Dynamic compared to static facial expressions of disgust and happiness reveal more widespread emotion-specific activations",2009,"EH",16,16,16,16,1,1,1,1,"PI",""
"WOS:000270741300003","10.1162/jocn.2008.21161","Tesink, CMJY; Petersson, KM; van Berkum, JJA; van den Brink, D; Buitelaar, JK; Hagoort, P","Unification of Speaker and Meaning in Language Comprehension: An fMRI Study",2009,"RvB",42,42,42,42,1,1,1,1,"PI",""
