variable,description/question in qualtrics,
ID,participant identifier,
duration_seconds,how long it took participant to complete survey,
RecordedDate,date and time the survey was taken,
open_ended_start,"When you read an empirical paper there are multiple pieces of information that you could use to evaluate the credibility of a finding in that paper.



If you were to assess the quality and quantity of evidence in support of a finding from fMRI within your own field of expertise, what information would you want to have access to? Please list any piece of information that comes to mind.",
sam_siz_imp,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.



The total sample size collected for the study:",
sam_siz_com,Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,
par_exc_imp,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.

 

The percentage of participants that were excluded (after they met the inclusion criteria for participating in MRI research)",
par_exc_how,"For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",
par_exc_com,Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,
stat_pow_imp,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.



The statistical power of the study to detect effect sizes of interest",
stat_pow_com,Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,
eff_siz_imp,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

The size of the effect (e.g. Cohen’s d for condition differences, Pearson’s r for brain-behavior correlations, or percentage signal change for raw BOLD signal differences)",
eff_siz_how,"For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",
eff_siz_com,Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,
clu_ext_imp,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Cluster extent of relevant cluster(s)",
clu_ext_how,"For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",
clu_ext_com,Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,
clu_pval_imp,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

The p-value for relevant cluster(s)",
clu_pval_how,"For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",
clu_pval_com,Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,
main_int_imp,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Whether the finding is a main effect or an interaction",
main_int_how,"For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",
main_int_com,Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,
con_ass_imp,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

How participants were assigned to conditions, if relevant (e.g., randomly, single/double blind, etc.)",
con_ass_com,Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,
rep_res_imp,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

In cases where you know of a replication study, the result(s) of a replication study",
rep_close_imp,"In cases where you know of a replication study, whether the replication is a close (direct) or conceptual replication.",
rep_close_how,"For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",
rep_ind_imp,"In cases where you know of a replication study, whether the replication is conducted by an independent team or not.",
rep_ind_how,"For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",
rep_com,Comments about these pieces of information as an indication of the quality and quantity of evidence in support of a finding (if any):,
wit_bet_imp,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Whether the finding is based on within-subjects measurements or between-subjects measurements",
wit_bet_how,"For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",
wit_bet_com,Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,
clu_zpeak_imp,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Peak Z-value for relevant clusters",
clu_zpeak_how,"For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",
clu_zpeak_com,Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,
