ut,label,cluster_id1,n_pubs,label1,label2,label3,label4,label5
000208031500006,WOS:000208031500006,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000208648200012,WOS:000208648200012,586,14336,diffuse optical tomography,fnir,spectroscopy,near infrared spectroscopy,bioluminescence tomography
000208653500006,WOS:000208653500006,3031,2196,death anxiety,mortality salience,ostracism,terror management,social exclusion
000208653500008,WOS:000208653500008,3031,2196,death anxiety,mortality salience,ostracism,terror management,social exclusion
000208653500009,WOS:000208653500009,3305,1436,williams syndrome,supravalvular aortic stenosis,tfii,williams,gtf2ird1
000208653600017,WOS:000208653600017,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000208768700003,WOS:000208768700003,139,22581,high functioning autism,autistic trait,asperger,asperger syndrome,autistic disorder
000208809000010,WOS:000208809000010,338,17868,cannabinoid,effect,rat,delta,role
000208863700015,WOS:000208863700015,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000208863700118,WOS:000208863700118,1039,10212,face recognition,face processing,prosopagnosia,unfamiliar face,facial identity
000208863800052,WOS:000208863800052,1951,5732,dysarthria,stuttering,foreign accent syndrome,auditory feedback,parkinson
000208863900070,WOS:000208863900070,2058,5239,phantom limb pain,rubber hand illusion,body ownership,agency,interoception
000208863900168,WOS:000208863900168,1951,5732,dysarthria,stuttering,foreign accent syndrome,auditory feedback,parkinson
000208863900234,WOS:000208863900234,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000208864000263,WOS:000208864000263,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000208868400007,WOS:000208868400007,127,22935,posttraumatic stress disorder,ptsd,refugee,veteran,iraq
000209041700009,WOS:000209041700009,2464,3848,translation,case study,english,case,language
000209165300008,WOS:000209165300008,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000209165300039,WOS:000209165300039,402,16851,dilemma game,spatial prisoner,social dilemma,public goods game,ultimatum game
000209174200009,WOS:000209174200009,139,22581,high functioning autism,autistic trait,asperger,asperger syndrome,autistic disorder
000209180500001,WOS:000209180500001,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000209200600045,WOS:000209200600045,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000209200600051,WOS:000209200600051,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000209215000002,WOS:000209215000002,1039,10212,face recognition,face processing,prosopagnosia,unfamiliar face,facial identity
000209222100030,WOS:000209222100030,139,22581,high functioning autism,autistic trait,asperger,asperger syndrome,autistic disorder
000209276800003,WOS:000209276800003,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000209276800037,WOS:000209276800037,1039,10212,face recognition,face processing,prosopagnosia,unfamiliar face,facial identity
000209276800075,WOS:000209276800075,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000209276900024,WOS:000209276900024,2365,4189,wernicke,encephalopathy,thiamine,thiamine deficiency,alcohol dependence
000209276900035,WOS:000209276900035,139,22581,high functioning autism,autistic trait,asperger,asperger syndrome,autistic disorder
000209276900037,WOS:000209276900037,139,22581,high functioning autism,autistic trait,asperger,asperger syndrome,autistic disorder
000209276900052,WOS:000209276900052,139,22581,high functioning autism,autistic trait,asperger,asperger syndrome,autistic disorder
000209291200004,WOS:000209291200004,770,12354,infant,mind,false belief,imitation,month old infant
000209337200004,WOS:000209337200004,1039,10212,face recognition,face processing,prosopagnosia,unfamiliar face,facial identity
000209629000001,WOS:000209629000001,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000209684400007,WOS:000209684400007,1803,6282,autobiographical memory,expressive writing,rumination,generativity,mental time travel
000209702500005,WOS:000209702500005,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000209843500023,WOS:000209843500023,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000209843500045,WOS:000209843500045,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000261727800001,WOS:000261727800001,1552,7382,facial attractiveness,evolutionary psychology,fertility,menstrual cycle,mate preference
000261790900010,WOS:000261790900010,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000261862600022,WOS:000261862600022,72,27557,untreated psychosis,auditory hallucination,delusion,schizotypy,paranoia
000261961700017,WOS:000261961700017,1049,10156,mismatch negativity,mmn,auditory event,error processing,simon effect
000262108500010,WOS:000262108500010,779,12226,transcranial direct current stimulation,tdc,rtms,corticospinal excitability,burst stimulation
000262173300016,WOS:000262173300016,263,18952,methylphenidate,attention deficit hyperactivity disorder,adhd,atomoxetine,adult adhd
000262208800008,WOS:000262208800008,1591,7206,hyperpolarization,absence epilepsy,hcn channel,hcn,barrel cortex
000262232000006,WOS:000262232000006,1217,9099,loneliness,social isolation,social network,age difference,hardiness
000262301500012,WOS:000262301500012,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000262301500053,WOS:000262301500053,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000262301500057,WOS:000262301500057,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000262301500058,WOS:000262301500058,1803,6282,autobiographical memory,expressive writing,rumination,generativity,mental time travel
000262397000027,WOS:000262397000027,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000262487700007,WOS:000262487700007,1162,9419,verbal short term memory,tower,working memory training,fluid intelligence,serial recall
000262518800003,WOS:000262518800003,2686,3198,disgust,moral judgment,disgust sensitivity,moral dilemma,contamination
000262614100033,WOS:000262614100033,1552,7382,facial attractiveness,evolutionary psychology,fertility,menstrual cycle,mate preference
000262614400014,WOS:000262614400014,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000262647600003,WOS:000262647600003,2686,3198,disgust,moral judgment,disgust sensitivity,moral dilemma,contamination
000262768200005,WOS:000262768200005,2686,3198,disgust,moral judgment,disgust sensitivity,moral dilemma,contamination
000262796400002,WOS:000262796400002,1355,8406,aspartame,monosodium glutamate,artificial sweetener,sweetener,bitter taste receptor
000262796400003,WOS:000262796400003,851,11606,olfactory bulb,olfactory dysfunction,olfactory epithelium,parkinson,alzheimer
000262796400004,WOS:000262796400004,1182,9283,sex pheromone,odorant binding protein,tortricidae,antennal sensilla,chemosensory protein
000262796400005,WOS:000262796400005,577,14410,navigation,medial temporal lobe,grid cell,human hippocampus,landmark
000262796400006,WOS:000262796400006,2266,4527,cerebellum,cerebellar cortex,eyeblink conditioning,cerebellar purkinje cell,NULL
000262796400007,WOS:000262796400007,2266,4527,cerebellum,cerebellar cortex,eyeblink conditioning,cerebellar purkinje cell,NULL
000262796400008,WOS:000262796400008,1317,8520,reconsolidation,fear extinction,latent inhibition,basolateral amygdala,d cycloserine
000262796400009,WOS:000262796400009,2266,4527,cerebellum,cerebellar cortex,eyeblink conditioning,cerebellar purkinje cell,NULL
000262796400010,WOS:000262796400010,941,10960,alpha,nicotinic acetylcholine receptor,beta,receptor,subunit
000262796400011,WOS:000262796400011,577,14410,navigation,medial temporal lobe,grid cell,human hippocampus,landmark
000262796400012,WOS:000262796400012,577,14410,navigation,medial temporal lobe,grid cell,human hippocampus,landmark
000262796400013,WOS:000262796400013,69,27787,parkinson disease,early parkinson,levodopa,disease patient,dyskinesia
000262796400014,WOS:000262796400014,1317,8520,reconsolidation,fear extinction,latent inhibition,basolateral amygdala,d cycloserine
000262796400015,WOS:000262796400015,243,19456,cocaine self administration,cue,craving,reinstatement,attentional bias
000262796400016,WOS:000262796400016,243,19456,cocaine self administration,cue,craving,reinstatement,attentional bias
000262796400017,WOS:000262796400017,243,19456,cocaine self administration,cue,craving,reinstatement,attentional bias
000262796400018,WOS:000262796400018,243,19456,cocaine self administration,cue,craving,reinstatement,attentional bias
000262796400019,WOS:000262796400019,62,29025,amyloid precursor protein,gamma secretase,bace1,presenilin,amyloid beta peptide
000262796400020,WOS:000262796400020,280,18724,omega,eicosapentaenoic acid,trans fatty acid,dha,long chain
000262796400021,WOS:000262796400021,1355,8406,aspartame,monosodium glutamate,artificial sweetener,sweetener,bitter taste receptor
000262796400022,WOS:000262796400022,1317,8520,reconsolidation,fear extinction,latent inhibition,basolateral amygdala,d cycloserine
000262796400023,WOS:000262796400023,1250,8883,rho kinase,fasudil,iqgap1,rhoa,pak1
000262796400024,WOS:000262796400024,1112,9722,cerebral ischemia reperfusion injury,focal cerebral ischemia,n butylphthalide,depolarization,granulocyte colony stimulating factor
000262819800006,WOS:000262819800006,1797,6303,narcissism,dark triad,callous unemotional trait,psychopathic trait,machiavellianism
000262824700005,WOS:000262824700005,72,27557,untreated psychosis,auditory hallucination,delusion,schizotypy,paranoia
000262859000025,WOS:000262859000025,3305,1436,williams syndrome,supravalvular aortic stenosis,tfii,williams,gtf2ird1
000262909700008,WOS:000262909700008,411,16706,visual working memory,attentional blink,spatial neglect,change blindness,return
000263139100003,WOS:000263139100003,1213,9120,empathy,action observation,imitation,motor imagery,mirror neuron
000263162600004,WOS:000263162600004,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000263162600012,WOS:000263162600012,890,11268,music therapy,effect,patient,congenital amusia,musical training
000263189900012,WOS:000263189900012,2058,5239,phantom limb pain,rubber hand illusion,body ownership,agency,interoception
000263232800003,WOS:000263232800003,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000263232800008,WOS:000263232800008,1213,9120,empathy,action observation,imitation,motor imagery,mirror neuron
000263232800023,WOS:000263232800023,261,18963,fmri data,functional connectivity,default mode network,fmri,resting state
000263295400043,WOS:000263295400043,155,21975,stereotype threat,implicit association test,regulatory focus,hindsight bias,counterfactual thinking
000263301200007,WOS:000263301200007,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000263335200004,WOS:000263335200004,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000263347600007,WOS:000263347600007,1213,9120,empathy,action observation,imitation,motor imagery,mirror neuron
000263405900019,WOS:000263405900019,576,14416,false memory,false recognition,retrieval practice,eyewitness memory,recognition memory
000263505000007,WOS:000263505000007,1003,10514,obsessive compulsive disorder,tourette syndrome,tourette,ocd,trichotillomania
000263558900027,WOS:000263558900027,692,13168,delay discounting,iowa gambling task,impulsivity,decision making,intertemporal choice
000263581900006,WOS:000263581900006,405,16787,attentional bias,facial expression,fear,emotional face,social anxiety
000263706800001,WOS:000263706800001,1552,7382,facial attractiveness,evolutionary psychology,fertility,menstrual cycle,mate preference
