ut,label,pub_year,doi,p_oa,p_oa_gold,p_oa_bronze,p_oa_hybrid,p_oa_green
000208031500006,WOS:000208031500006,2009,10.3389/neuro.08.006.2009,1,1,0,0,1
000208648200012,WOS:000208648200012,2011,10.1142/s1793545811001472,0,0,0,0,0
000208653500006,WOS:000208653500006,2011,10.1016/j.dcn.2011.01.004,1,1,0,0,1
000208653500008,WOS:000208653500008,2011,10.1016/j.dcn.2011.02.002,1,1,0,0,1
000208653500009,WOS:000208653500009,2011,10.1016/j.dcn.2011.03.003,1,1,0,0,1
000208653600017,WOS:000208653600017,2011,10.1016/j.dcn.2011.06.006,1,1,0,0,1
000208768700003,WOS:000208768700003,2011,10.1038/tp.2011.18,1,1,0,0,1
000208809000010,WOS:000208809000010,2011,10.1186/2040-2392-2-10,1,1,0,0,1
000208863700015,WOS:000208863700015,2011,10.3389/fpsyg.2011.00003,1,1,0,0,1
000208863700118,WOS:000208863700118,2011,10.3389/fpsyg.2011.00107,1,1,0,0,1
000208863800052,WOS:000208863800052,2011,10.3389/fpsyg.2011.00237,1,1,0,0,1
000208863900070,WOS:000208863900070,2012,10.3389/fpsyg.2012.00056,1,1,0,0,1
000208863900168,WOS:000208863900168,2012,10.3389/fpsyg.2012.00157,1,1,0,0,1
000208863900234,WOS:000208863900234,2012,10.3389/fpsyg.2012.00223,1,1,0,0,1
000208864000263,WOS:000208864000263,2012,10.3389/fpsyg.2012.00557,1,1,0,0,1
000208868400007,WOS:000208868400007,2012,10.3402/ejpt.v3i0.8587,1,1,0,0,1
000209041700009,WOS:000209041700009,2012,10.7202/1012743ar,1,0,1,0,1
000209165300008,WOS:000209165300008,2012,10.3389/fnins.2011.00142,1,1,0,0,1
000209165300039,WOS:000209165300039,2012,10.3389/fnins.2012.00023,1,1,0,0,1
000209174200009,WOS:000209174200009,2012,10.1002/brb3.81,1,1,0,0,1
000209180500001,WOS:000209180500001,2012,10.1037/a0026584,1,0,0,0,1
000209200600045,WOS:000209200600045,2011,10.3389/fnins.2011.00049,1,1,0,0,1
000209200600051,WOS:000209200600051,2011,10.3389/fnins.2011.00055,1,1,0,0,1
000209215000002,WOS:000209215000002,2011,10.3791/2379,1,0,0,0,1
000209222100030,WOS:000209222100030,2011,10.3791/3178,1,0,0,0,1
000209276800003,WOS:000209276800003,2013,10.1016/j.nicl.2012.10.008,1,1,0,0,1
000209276800037,WOS:000209276800037,2013,10.1016/j.nicl.2013.02.002,1,1,0,0,1
000209276800075,WOS:000209276800075,2013,10.1016/j.nicl.2013.05.001,1,1,0,0,1
000209276900024,WOS:000209276900024,2013,10.1016/j.nicl.2013.08.010,1,1,0,0,1
000209276900035,WOS:000209276900035,2013,10.1016/j.nicl.2013.09.005,1,1,0,0,1
000209276900037,WOS:000209276900037,2013,10.1016/j.nicl.2013.08.014,1,1,0,0,1
000209276900052,WOS:000209276900052,2013,10.1016/j.nicl.2013.10.011,1,1,0,0,1
000209291200004,WOS:000209291200004,2013,10.5709/acp-0129-6,1,1,0,0,1
000209337200004,WOS:000209337200004,2012,10.1038/tp.2012.67,1,1,0,0,1
