AU	TI	PY	DI	UT	study_number	sample_size	coder	coder_comment
"Kedia, G; Mussweiler, T; Adam, R; Ischebeck, A; Ihssen, N; Linden, DEJ"	So pretty! The neural correlates of self-other vs familiar-other attractiveness comparisons	2019	10.1080/17470919.2017.1397544	WOS:000452724400004				
"van Hoorn, J; McCormick, EM; Rogers, CR; Ivory, SL; Telzer, EH"	Differential effects of parent and peer presence on neural correlates of risk taking in adolescence	2018	10.1093/scan/nsy071	WOS:000456663300005				
"Insel, C; Somerville, LH"	Asymmetric neural tracking of gain and loss magnitude during adolescence	2018	10.1093/scan/nsy058	WOS:000444326700001				
"Ksander, JC; Paige, LE; Johndro, HA; Gutchess, AH"	Cultural specialization of visual cortex	2018	10.1093/scan/nsy039	WOS:000444326200005				
"Hu, Y; He, LS; Zhang, L; Wolk, T; Dreher, JC; Weber, B"	Spreading inequality: neural computations underlying paying-it-forward reciprocity	2018	10.1093/scan/nsy040	WOS:000438330000003				
"van den Berg, LJM; Tollenaar, MS; Pittner, K; Compier-de Block, LHCG; Buisman, RSM; van IJzendoorn, MH; Elzinga, BM"	Pass it on? The neural responses to rejection in the context of a family study on maltreatment	2018	10.1093/scan/nsy035	WOS:000438330000006				
"Yang, X; Garcia, KM; Jung, Y; Whitlow, CT; McRae, K; Waugh, CE"	vmPFC activation during a stressor predicts positive emotions during stress recovery	2018	10.1093/scan/nsy012	WOS:000427017900002				
"Tashjian, SM; Goldenberg, D; Monti, MM; Galvan, A"	Sleep quality and adolescent default mode network connectivity	2018	10.1093/scan/nsy009	WOS:000427017900005				
"van Reekum, CM; Schaefer, SM; Lapate, RC; Norris, CJ; Tun, PA; Lachman, ME; Ryff, CA; Davidson, RJ"	Aging is associated with a prefrontal lateral-medial shift during picture-induced negative affect	2018	10.1093/scan/nsx144	WOS:000427017200002				
"Nakamura, T; Matsui, T; Utsumi, A; Yamazaki, M; Makita, K; Harada, T; Tanabe, HC; Sadato, N"	The role of the amygdala in incongruity resolution: the case of humor comprehension	2018	10.1080/17470919.2017.1365760	WOS:000452190600004				
"Charpentier, CJ; O'Doherty, JP"	The application of computational models to social neuroscience: promises and pitfalls	2018	10.1080/17470919.2018.1518834	WOS:000446054000001				
