UT	AU	TI	PY	DI	study_number	coder	main_finding_short	main_finding_long	finding_in_abstract	coding_rule	is_replication	is_exploratory	coder_comments
WOS:000439686700030	"Hausler, AN; Kuhnen, CM; Rudorf, S; Weber, B"	Preferences and beliefs about financial risk taking mediate the association between anterior insula activation and self-reported reallife stock trading	2018	10.1038/s41598-018-29670-6	1								
WOS:000307678800007	"Lischke, A; Gamer, M; Berger, C; Grossmann, A; Hauenstein, K; Heinrichs, M; Herpertz, SC; Domes, G"	Oxytocin increases amygdala reactivity to threatening scenes in females	2012	10.1016/j.psyneuen.2012.01.011	1								
WOS:000336489000019	"Szpunar, KK; St Jacques, PL; Robbins, CA; Wig, GS; Schacter, DL"	Repetition-related reductions in neural activity reveal component processes of mental simulation	2014	10.1093/scan/nst035	1								
WOS:000320682800020	"Latinus, M; McAleer, P; Bestelmeyer, PEG; Belin, P"	Norm-Based Coding of Voice Identity in Human Auditory Cortex	2013	10.1016/j.cub.2013.04.055	1								
WOS:000332385900103	"Votinov, M; Pripfl, J; Windischberger, C; Kalcher, K; Zimprich, A; Zimprich, F; Moser, E; Lamm, C; Sailer, U"	A Genetic Polymorphism of the Endogenous Opioid Dynorphin Modulates Monetary Reward Anticipation in the Corticostriatal Loop	2014	10.1371/journal.pone.0089954	1								
WOS:000330554000008	"Shuster, LI; Moore, DR; Chen, G; Ruscello, DM; Wonderlin, WF"	Does experience in talking facilitate speech repetition?	2014	10.1016/j.neuroimage.2013.10.064	1								
WOS:000383727000002	"Paschke, LM; Dorfel, D; Steimke, R; Trempler, I; Magrabi, A; Ludwig, VU; Schubert, T; Stelzel, C; Walter, H"	Individual differences in self-reported self-control predict successful emotion regulation	2016	10.1093/scan/nsw036	1								
WOS:000405057600008	"Clark, CM; Lawlor-Savage, L; Goghari, VM"	Comparing brain activations associated with working memory and fluid intelligence	2017	10.1016/j.intell.2017.06.001	1								
WOS:000324568400003	"Peake, SJ; Dishion, TJ; Stormshak, EA; Moore, WE; Pfeifer, JH"	Risk-taking and social exclusion in adolescence: Neural mechanisms underlying peer influences on decision-making	2013	10.1016/j.neuroimage.2013.05.061	1								
WOS:000360949300005	"Rauchbauer, B; Majdandzic, J; Hummer, A; Windischberger, C; Lamm, C"	Distinct neural processes are engaged in the modulation of mimicry by social group-membership and emotional expressions	2015	10.1016/j.cortex.2015.03.007	1								
WOS:000431104900012	"Ruissen, MI; Overgaauw, S; de Bruijn, ERA"	"Being right, but losing money: the role of striatum in joint decision making"	2018	10.1038/s41598-018-24617-3	1								
