StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.2,Q2.2,Q4.1_1,Q4.2,Q5.1_1,Q5.2,Q5.3,Q6.1_1,Q6.2,Q7.1_1,Q7.2,Q7.3,Q8.1_1,Q8.2,Q8.3,Q9.1_1,Q9.2,Q9.3,Q10.1_1,Q10.2,Q10.3,Q11.1_1,Q11.2,Q12.1_1,Q12.2_1,Q12.3,Q12.4_1,Q12.5,Q12.6,Q13.1_1,Q13.2,Q13.3,Q14.1_1,Q14.2,Q14.3,Q15.1_1,Q15.2,Q16.1_1,Q16.2,Q16.3,Q17.1_1,Q17.2,Q18.1_1,Q18.2,Q19.1_1,Q19.2,Q20.1_1,Q20.2,Q21.1_1,Q21.2,Q21.3,Q22.1_1,Q22.1_2,Q22.1_3,Q22.1_4,Q22.1_5,Q22.1_6,Q22.1_7,Q22.1_8,Q22.1_9,Q22.1_10,Q22.1_11,Q22.1_12,Q22.1_13,Q22.1_14,Q22.1_15,Q22.1_16,Q22.1_17,Q22.1_18,Q23.1,Q23.2
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Informed consent form

- I have read and understood the information of the corresponding information form for participants.

- I know that my participation is completely voluntary. I know that I can refuse to participate and that I can stop my participation at any time during the study, without giving any reasons. I know that I can withdraw permission to use my data immediately after completing the study.

- I know that no information that can be used to personally identify me or my responses in this study will be shared with anyone outside of the research team.

I give permission to make my anonymized recorded data available to others in a public online data repository, and allow others to use this data for future research projects unrelated to this study.","When you read an empirical paper there are multiple pieces of information that you could use to evaluate the credibility of a finding in that paper.



If you were to assess the quality and quantity of evidence in support of a finding from fMRI within your own field of expertise, what information would you want to have access to? Please list any piece of information that comes to mind.","Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.



The total sample size collected for the study:",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.

 

The percentage of participants that were excluded (after they met the inclusion criteria for participating in MRI research)","For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.



The statistical power of the study to detect effect sizes of interest",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

The size of the effect (e.g. Cohen’s d for condition differences, Pearson’s r for brain-behavior correlations, or percentage signal change for raw BOLD signal differences)","For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Cluster extent of relevant cluster(s)","For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

The p-value for relevant cluster(s)","For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Whether the finding is a main effect or an interaction","For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

How participants were assigned to conditions, if relevant (e.g., randomly, single/double blind, etc.)",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

In cases where you know of a replication study, the result(s) of a replication study","In cases where you know of a replication study, whether the replication is a close (direct) or conceptual replication.","For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:","In cases where you know of a replication study, whether the replication is conducted by an independent team or not.","For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",Comments about these pieces of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Whether the finding is based on within-subjects measurements or between-subjects measurements","For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Peak Z-value for relevant clusters","For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Open access to the underlying empirical data that were analyzed",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Whether the study has been preregistered","For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Whether there are statistical errors in the results reported (e.g., the degrees of freedom do not correspond to the other reported statistics, the total sample size does not equal the sum of the group sample sizes, etc.)",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Whether the finding has a strong connection with theory",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Whether the finding is predicted a priori or discovered during data exploration",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

How participants were sampled from the population (e.g., stratified random sampling, snowball sampling, convenience sampling, etc.)",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Imagine you are evaluating a typical fMRI finding within your field of expertise. There is rarely a direct relationship between any single piece of information about a finding and its credibility. Nevertheless, please indicate how important the following pieces of information are for you when you judge the quality and quantity of evidence in support of a finding.



Please give your answer considering scale endpoints between “All else equal, this is not at all important to me” and “All else equal, this is very important to me”.


 

Whether the finding is unexpected (e.g., “counterintuitive”), or in line with what we already know","For this question, we would like you to indicate in what way you believe this information is related to the quality and quantity of evidence in support of a finding:",Comments about this piece of information as an indication of the quality and quantity of evidence in support of a finding (if any):,"Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - The sample size","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - The percentage participants excluded","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - The statistical power","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - The effect size","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - The cluster peak Z-values","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - The cluster extent","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - The p-value","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - Main effect or interaction","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - Within-subjects or between-subjects","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - Openly available data","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - The presence of statical errors in reporting","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - The connection to theory","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - Predicted a priori or discovered during data exploration","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - How participants are sampled from the population","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - How participants are assigned to conditions","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - The results of a replication","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - Preregistered or not preregistered","Please rank-order the items you just evaluated according to how important they are, on average, for your judgements of the quality and quantity of evidence in support of a finding.
The more important an item is for your judgements, the higher its position in the rank-order should be. - Unexpected vs. in line with what we already know","After reading through these items, are there additional pieces of information that came to mind, but that you did not mention at the beginning of the survey and that were not present in the items?",General comments and feedback on the survey. Were the questions understandable? Did the kinds of information we provided make sense to you?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID64_2""}","{""ImportId"":""QID64_3""}","{""ImportId"":""QID64_4""}","{""ImportId"":""QID64_5""}","{""ImportId"":""QID64_6""}","{""ImportId"":""QID64_7""}","{""ImportId"":""QID64_8""}","{""ImportId"":""QID64_9""}","{""ImportId"":""QID64_10""}","{""ImportId"":""QID64_11""}","{""ImportId"":""QID64_12""}","{""ImportId"":""QID64_13""}","{""ImportId"":""QID64_14""}","{""ImportId"":""QID64_15""}","{""ImportId"":""QID64_16""}","{""ImportId"":""QID64_17""}","{""ImportId"":""QID64_18""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID71_TEXT""}"
2019-10-17 14:04:47,2019-10-17 14:13:56,Survey Preview,100,549,True,2019-10-17 14:13:56,R_3oZpy2XnZnSvJFj,preview,EN,I do give permission,bla,,,,,,,,,,,64,,,,,,,,,,,,,,,,,65,,,75,,,,,,,,,,,,,,68,,,,,3,15,4,16,10,7,9,17,12,13,14,8,2,6,11,1,5,,,
2019-10-17 14:30:38,2019-10-17 14:31:53,IP Address,100,74,True,2019-10-17 14:31:53,R_2P5vguusHRmTScy,anonymous,EN,I do not give permission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-17 14:31:57,2019-10-17 15:04:14,IP Address,100,1937,True,2019-10-17 15:04:14,R_9YmFevc9VARrRbH,anonymous,EN,I do give permission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,4,14,16,17,15,13,8,9,10,1,3,7,6,2,11,,,
2019-10-24 16:21:31,2019-10-24 17:02:39,IP Address,100,2468,True,2019-10-24 17:02:40,R_9zgj5ywtCEi81uV,anonymous,EN,I do give permission,,87,,16,,"it depends why ",82,,61,realistic,,52,,,70,,,3,,,89,,96,79,the more direct. the moreimportant,65,better,,47,,,58,,,,,77,,,28,,94,,62,prediction,24,,81,,,2,15,7,10,9,17,8,13,16,14,18,3,5,12,11,1,6,4,nope,
2019-10-22 11:35:25,2019-10-22 11:57:31,IP Address,10,1325,False,2019-10-29 10:57:55,R_2VmTPoTbrt52fbC,anonymous,EN,I do give permission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-17 15:04:17,2019-10-29 11:03:39,IP Address,100,1025961,True,2019-10-29 11:03:39,R_2Ey4KiLU585ld3L,anonymous,EN,I do give permission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-29 11:03:56,2019-10-29 12:01:16,IP Address,100,3439,True,2019-10-29 12:01:17,R_1Nh6XIqXjV2rftC,anonymous,EN,I do give permission,"(I am Peder - delete my data)
fMRI scanning parameters
exclusion criteria
open data
open materials (although I will likely never rerun analyses from raw data)
preregistration 
theoretical rationale
sample size
signal to noise ratio (effect size in relation to variance)
manipulation checks
measurement validity checks
placebo control
randomization for causal claims
checks for spurious mediation (e.g. effect should not be driven by general drug effects such as nausea)",94,"Strongly connected to power, so quite important to the quantity of evidence.",13,"If criteria are clearly stated, and sample size being part of ""all else equal"" then this is not important for my judgement of the evidence.",,92,Important for evidence quantity,85,Effect sizes that are meaningful but not implausibly large (e.g. correlations of r=.95 and such) indicate the strongest evidence.,,15,If the numbers here are completely off (e.g. cluster includes 1 voxel or all voxels of the brain) or if the finding relates to a brain region that requires a small cluster extend (e.g. Nacc) then irregular numbers would signal low quality of evidence.,"Most of the time, hypotheses are not directly related to cluster extent, so this would not usually be something I can use to assess quality of evidence.",69,"A higher p-value signals higher quantity of evidence, but many p-values close to .05 signals to me that p-hacking may have occurred, which would lower the quality of the evidence.",,,,,90,,86,68,close replication is more important for evidence quantity than conceptual. Conceptual reps are more frequently exposed to p-hacking.,98,"Independent replication is a much stronger sign of evidence quality than rep by same author team. ","I do not usually encounter direct replications of fMRI studies in my field. ",88,"This is usually important with respect to the theoretical background of the study. Within- or between- can both be the ""correct"" option in different scenarios so neither signals stronger evidence on average.",,78,Same interpretation as cluster p-value. Higher usually means more evidence.,,74,"I rarely look at this directly, but willingness to share data openly signals to me that the authors care about reproducibility of their findings.",12,A preregistration increases the quality of evidence supporting a finding,"This is normally not important to me because almost no studies in my field are preregistered. ",14,"I usually do not look for these and even if I knew errors existed, a few errors does not necessarily invalidate a study's conclusions.",93,"Findings that have a strong connection with theory are more plausible. ",92,"Predicted findings are of higher evidential quality than exploratory findings. ",32,"Most of the fMRI studies in my field assumes that healthy students are representative of the population of human beings. ",86,Surprising one-off findings are less credible than findings that clearly build on a line of previous evidence.,,4,15,3,8,14,13,11,9,12,10,16,5,6,17,1,18,2,7,No,"A few of the items were hard to think about, and in question 2 it is not completely clear if I should evaluate importance in the same way as for question 1."
2019-10-29 12:02:11,2019-10-29 13:25:45,IP Address,81,5013,False,2019-11-05 13:25:46,R_1IarF3WR1ekZMay,anonymous,EN,I do give permission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
