"target_doi","year","count"
"10.1001/2013.jamapsychiatry.210",2013,4
"10.1001/2013.jamapsychiatry.210",2014,13
"10.1001/2013.jamapsychiatry.210",2015,3
"10.1001/2013.jamapsychiatry.210",2016,15
"10.1001/2013.jamapsychiatry.210",2017,6
"10.1001/2013.jamapsychiatry.210",2018,6
"10.1001/2013.jamapsychiatry.210",2019,4
"10.1001/2013.jamapsychiatry.210",2020,2
"10.1001/2013.jamapsychiatry.210",2021,3
"10.1001/2013.jamapsychiatry.5",2013,14
"10.1001/2013.jamapsychiatry.5",2014,18
"10.1001/2013.jamapsychiatry.5",2015,30
"10.1001/2013.jamapsychiatry.5",2016,14
"10.1001/2013.jamapsychiatry.5",2017,21
"10.1001/2013.jamapsychiatry.5",2018,9
"10.1001/2013.jamapsychiatry.5",2019,11
"10.1001/2013.jamapsychiatry.5",2020,5
"10.1001/2013.jamapsychiatry.5",2021,1
"10.1001/archgenpsychiatry.2011.139",2013,3
"10.1001/archgenpsychiatry.2011.139",2014,3
"10.1001/archgenpsychiatry.2011.139",2015,2
"10.1001/archgenpsychiatry.2011.139",2016,1
"10.1001/archgenpsychiatry.2011.139",2017,3
"10.1001/archgenpsychiatry.2011.139",2018,2
"10.1001/archgenpsychiatry.2011.139",2019,6
"10.1001/archgenpsychiatry.2012.135",2013,21
"10.1001/archgenpsychiatry.2012.135",2014,13
"10.1001/archgenpsychiatry.2012.135",2015,24
"10.1001/archgenpsychiatry.2012.135",2016,17
"10.1001/archgenpsychiatry.2012.135",2017,2
"10.1001/archgenpsychiatry.2012.135",2018,4
"10.1001/archgenpsychiatry.2012.135",2019,13
"10.1001/archgenpsychiatry.2012.135",2020,3
"10.1001/archgenpsychiatry.2012.135",2021,9
"10.1001/archgenpsychiatry.2012.135",,1
"10.1001/archgenpsychiatry.2012.513",2013,2
"10.1001/archgenpsychiatry.2012.513",2014,8
"10.1001/archgenpsychiatry.2012.513",2015,2
"10.1001/archgenpsychiatry.2012.513",2016,4
"10.1001/archgenpsychiatry.2012.513",2017,3
"10.1001/archgenpsychiatry.2012.513",2019,5
"10.1001/archgenpsychiatry.2012.513",2020,6
"10.1001/archgenpsychiatry.2012.513",2021,8
"10.1001/jamapsychiatry.2013.117",2013,2
"10.1001/jamapsychiatry.2013.117",2014,20
"10.1001/jamapsychiatry.2013.117",2015,31
"10.1001/jamapsychiatry.2013.117",2016,11
"10.1001/jamapsychiatry.2013.117",2017,8
"10.1001/jamapsychiatry.2013.117",2018,8
"10.1001/jamapsychiatry.2013.117",2019,7
"10.1001/jamapsychiatry.2013.117",2021,1
"10.1001/jamapsychiatry.2013.234",2014,18
"10.1001/jamapsychiatry.2013.234",2015,16
"10.1001/jamapsychiatry.2013.234",2016,25
"10.1001/jamapsychiatry.2013.234",2017,8
"10.1001/jamapsychiatry.2013.234",2018,9
"10.1001/jamapsychiatry.2013.234",2019,5
"10.1001/jamapsychiatry.2013.234",2020,4
"10.1001/jamapsychiatry.2013.234",2021,7
"10.1001/jamapsychiatry.2013.3911",2015,1
"10.1001/jamapsychiatry.2013.3911",2016,4
"10.1001/jamapsychiatry.2013.3911",2017,1
"10.1001/jamapsychiatry.2013.3911",2018,7
"10.1001/jamapsychiatry.2013.3911",2020,2
"10.1001/jamapsychiatry.2015.0101",2015,2
"10.1001/jamapsychiatry.2015.0101",2016,18
"10.1001/jamapsychiatry.2015.0101",2017,22
"10.1001/jamapsychiatry.2015.0101",2018,31
"10.1001/jamapsychiatry.2015.0101",2019,50
"10.1001/jamapsychiatry.2015.0101",2020,34
"10.1001/jamapsychiatry.2015.0101",2021,42
"10.1001/jamapsychiatry.2015.0101",,2
"10.1001/jamapsychiatry.2016.0219",2016,1
"10.1001/jamapsychiatry.2016.0219",2017,4
"10.1001/jamapsychiatry.2016.0219",2018,5
"10.1001/jamapsychiatry.2016.0219",2021,3
"10.1001/jamapsychiatry.2017.1682",2019,11
"10.1001/jamapsychiatry.2017.1682",2020,7
"10.1001/jamapsychiatry.2017.1682",2021,3
"10.1002/ab.21787",2019,1
"10.1002/ab.21787",2020,1
"10.1002/acn3.503",2018,1
"10.1002/acn3.503",2019,3
"10.1002/acn3.503",2020,7
"10.1002/acn3.503",2021,2
"10.1002/acn3.503",,1
"10.1002/ajmg.b.30964",2010,3
"10.1002/ajmg.b.30964",2011,34
"10.1002/ajmg.b.30964",2012,23
"10.1002/ajmg.b.30964",2013,5
"10.1002/ajmg.b.30964",2014,4
"10.1002/ajmg.b.30964",2015,15
"10.1002/ajmg.b.30964",2016,7
"10.1002/ajmg.b.30964",2017,20
"10.1002/ajmg.b.30964",2018,3
"10.1002/ajmg.b.30964",2019,2
"10.1002/ajmg.b.30964",2020,4
"10.1002/ajmg.b.30964",2021,1
"10.1002/ajmg.b.32294",2016,6
"10.1002/ajmg.b.32294",2017,6
"10.1002/ajmg.b.32294",2018,1
"10.1002/ajp.20931",2013,1
"10.1002/ajp.22740",2018,2
"10.1002/ajp.22740",2019,3
"10.1002/ajp.22740",2020,6
