PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Todorov, Alexander; Said, Christopher P.; Oosterhof, Nikolaas N.; Engell, Andrew D.								Task-invariant Brain Responses to the Social Value of Faces								JOURNAL OF COGNITIVE NEUROSCIENCE				23	10			2766	2781		10.1162/jocn.2011.21616			OCT 2011	2011	In two fMRI experiments (n = 44) using tasks with different demands-approach-avoidance versus one-back recognition decisions-we measured the responses to the social value of faces. The face stimuli were produced by a parametric model of face evaluation that reduces multiple social evaluations to two orthogonal dimensions of valence and power [Oosterhof, N. N., & Todorov, A. The functional basis of face evaluation. Proceedings of the National Academy of Sciences, U. S. A., 105, 11087-11092, 2008]. Independent of the task, the response within regions of the occipital, fusiform, and lateral prefrontal cortices was sensitive to the valence dimension, with larger responses to low-valence faces. Additionally, there were extensive quadratic responses in the fusiform gyri and dorsal amygdala, with larger responses to faces at the extremes of the face valence continuum than faces in the middle. In all these regions, participants 'avoidance decisions correlated with brain responses, with faces more likely to be avoided evoking stronger responses. The findings suggest that both explicit and implicit face evaluation engage multiple brain regions involved in attention, affect, and decision making.		[Todorov, Alexander] Princeton Univ, Dept Psychol, Princeton, NJ 08540 USA; [Said, Christopher P.] NYU, New York, NY 10003 USA; [Oosterhof, Nikolaas N.] Bangor Univ, Bangor, Gwynedd, Wales; [Engell, Andrew D.] Yale Univ, New Haven, CT 06520 USA; [Todorov, Alexander] Princeton Univ, Dept Psychol, Princeton, NJ 08540 USA								33							Neurosciences; Psychology, Experimental	WOS:000294055600012		
J	Komisaruk, Barry R.; Wise, Nan; Frangos, Eleni; Liu, Wen-Ching; Allen, Kachina; Brody, Stuart								Women's Clitoris, Vagina, and Cervix Mapped on the Sensory Cortex: fMRI Evidence								JOURNAL OF SEXUAL MEDICINE				8	10			2822	2830		10.1111/j.1743-6109.2011.02388.x			OCT 2011	2011	Introduction. The projection of vagina, uterine cervix, and nipple to the sensory cortex in humans has not been reported. Aims. The aim of this study was to map the sensory cortical fields of the clitoris, vagina, cervix, and nipple, toward an elucidation of the neural systems underlying sexual response. Methods. Using functional magnetic resonance imaging (fMRI), we mapped sensory cortical responses to clitoral, vaginal, cervical, and nipple self-stimulation. For points of reference on the homunculus, we also mapped responses to the thumb and great toe (hallux) stimulation. Main Outcome Measures. The main outcome measures used for this study were the fMRI of brain regions activated by the various sensory stimuli. Results. Clitoral, vaginal, and cervical self-stimulation activated differentiable sensory cortical regions, all clustered in the medial cortex (medial paracentral lobule). Nipple self-stimulation activated the genital sensory cortex (as well as the thoracic) region of the homuncular map. Conclusion. The genital sensory cortex, identified in the classical Penfield homunculus based on electrical stimulation of the brain only in men, was confirmed for the first time in the literature by the present study in women applying clitoral, vaginal, and cervical self-stimulation, and observing their regional brain responses using fMRI. Vaginal, clitoral, and cervical regions of activation were differentiable, consistent with innervation by different afferent nerves and different behavioral correlates. Activation of the genital sensory cortex by nipple self-stimulation was unexpected, but suggests a neurological basis for women's reports of its erotogenic quality. Komisaruk BR, Wise N, Frangos E, Liu W-C, Allen K, and Brody S. Women's clitoris, vagina and cervix mapped on the sensory cortex: fMRI evidence. J Sex Med 2011; 8: 2822-2830.		[Komisaruk, Barry R.; Wise, Nan; Frangos, Eleni; Allen, Kachina] Rutgers State Univ, Dept Psychol, Newark, NJ 07102 USA; [Komisaruk, Barry R.; Liu, Wen-Ching] Univ Med & Dent New Jersey, New Jersey Med Sch, Dept Radiol, Newark, NJ 07103 USA; [Brody, Stuart] Univ W Scotland, Sch Social Sci, Paisley, Renfrew, Scotland; [Komisaruk, Barry R.] Rutgers State Univ, Dept Psychol, 101 Warren St, Newark, NJ 07102 USA								83							Urology & Nephrology	WOS:000295874900017		
J	Germine, Laura T.; Garrido, Lucia; Bruce, Lori; Hooker, Christine								Social anhedonia is associated with neural abnormalities during face emotion processing								NEUROIMAGE				58	3			935	945		10.1016/j.neuroimage.2011.06.059			OCT 1 2011	2011	Human beings are social organisms with an intrinsic desire to seek and participate in social interactions. Social anhedonia is a personality trait characterized by a reduced desire for social affiliation and reduced pleasure derived from interpersonal interactions. Abnormally high levels of social anhedonia prospectively predict the development of schizophrenia and contribute to poorer outcomes for schizophrenia patients. Despite the strong association between social anhedonia and schizophrenia, the neural mechanisms that underlie individual differences in social anhedonia have not been studied and are thus poorly understood. Deficits in face emotion recognition are related to poorer social outcomes in schizophrenia, and it has been suggested that face emotion recognition deficits may be a behavioral marker for schizophrenia liability. In the current study, we used functional magnetic resonance imaging (fMRI) to see whether there are differences in the brain networks underlying basic face emotion processing in a community sample of individuals low vs. high in social anhedonia. We isolated the neural mechanisms related to face emotion processing by comparing face emotion discrimination with four other baseline conditions (identity discrimination of emotional faces, identity discrimination of neutral faces, object discrimination, and pattern discrimination). Results showed a group (high/low social anhedonia) x condition (emotion discrimination/control condition) interaction in the anterior portion of the rostral medial prefrontal cortex, right superior temporal gyms, and left somatosensory cortex. As predicted, high (relative to low) social anhedonia participants showed less neural activity in face emotion processing regions during emotion discrimination as compared to each control condition. The findings suggest that social anhedonia is associated with abnormalities in networks responsible for basic processes associated with social cognition, and provide a starting point for understanding the neural basis of social motivation and our drive to seek social affiliation. (C) 2011 Elsevier Inc. All rights reserved.		[Germine, Laura T.; Garrido, Lucia; Bruce, Lori; Hooker, Christine] Harvard Univ, Dept Psychol, Cambridge, MA 02138 USA; [Germine, Laura T.] 806 William James Hall,33 Kirkland St, Cambridge, MA 02138 USA								53							Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging	WOS:000294940700026		
J	Mayberry, Rachel I.; Chen, Jen-Kai; Witcher, Pamela; Klein, Denise								Age of acquisition effects on the functional organization of language in the adult brain								BRAIN AND LANGUAGE				119	1			16	29		10.1016/j.bandl.2011.05.007			OCT 2011	2011	Using functional magnetic resonance imaging (fMRI), we neuroimaged deaf adults as they performed two linguistic tasks with sentences in American Sign Language, grammatical judgment and phonemic-hand judgment. Participants' age-onset of sign language acquisition ranged from birth to 14 years: length of sign language experience was substantial and did not vary in relation to age of acquisition. For both tasks, a more left lateralized pattern of activation was observed, with activity for grammatical judgment being more anterior than that observed for phonemic-hand judgment, which was more posterior by comparison. Age of acquisition was linearly and negatively related to activation levels in anterior language regions and positively related to activation levels in posterior visual regions for both tasks. (C) 2011 Elsevier Inc. All rights reserved.		[Mayberry, Rachel I.] Univ Calif San Diego, Dept Linguist, La Jolla, CA 92093 USA; [Chen, Jen-Kai; Witcher, Pamela; Klein, Denise] McGill Univ, Dept Neurol & Neurosurg, Montreal, PQ, Canada; [Chen, Jen-Kai; Klein, Denise] McGill Univ, Montreal Neurol Inst, Cognit Neurosci Unit, Montreal, PQ, Canada; [Mayberry, Rachel I.] Univ Calif San Diego, Dept Linguist, 9500 Gilman Dr, La Jolla, CA 92093 USA								85							Audiology & Speech-Language Pathology; Linguistics; Neurosciences; Psychology, Experimental	WOS:000294513100003		
J	Pascual-Leone, Alvaro; Freitas, Catarina; Oberman, Lindsay; Horvath, Jared C.; Halko, Mark; Eldaief, Mark; Bashir, Shahid; Vernet, Marine; Shafi, Mouhshin; Westover, Brandon; Vahabzadeh-Hagh, Andrew M.; Rotenberg, Alexander								Characterizing Brain Cortical Plasticity and Network Dynamics Across the Age-Span in Health and Disease with TMS-EEG and TMS-fMRI								BRAIN TOPOGRAPHY				24	3-4			302	315		10.1007/s10548-011-0196-8			OCT 2011	2011	Brain plasticity can be conceptualized as nature's invention to overcome limitations of the genome and adapt to a rapidly changing environment. As such, plasticity is an intrinsic property of the brain across the lifespan. However, mechanisms of plasticity may vary with age. The combination of transcranial magnetic stimulation (TMS) with electroencephalography (EEG) or functional magnetic resonance imaging (fMRI) enables clinicians and researchers to directly study local and network cortical plasticity, in humans in vivo, and characterize their changes across the age-span. Parallel, translational studies in animals can provide mechanistic insights. Here, we argue that, for each individual, the efficiency of neuronal plasticity declines throughout the age-span and may do so more or less prominently depending on variable 'starting-points' and different 'slopes of change' defined by genetic, biological, and environmental factors. Furthermore, aberrant, excessive, insufficient, or mistimed plasticity may represent the proximal pathogenic cause of neurodevelopmental and neurodegenerative disorders such as autism spectrum disorders or Alzheimer's disease.		[Pascual-Leone, Alvaro; Freitas, Catarina; Oberman, Lindsay; Horvath, Jared C.; Halko, Mark; Eldaief, Mark; Bashir, Shahid; Vernet, Marine; Shafi, Mouhshin; Westover, Brandon; Vahabzadeh-Hagh, Andrew M.] Harvard Univ, Beth Israel Deaconess Med Ctr, Berenson Allen Ctr Noninvas Brain Stimulat, Div Cognit Neurol,Dept Neurol,Med Sch, Boston, MA 02215 USA; [Pascual-Leone, Alvaro] Univ Autonoma Barcelona, Inst Univ Neurorehabil Guttmann, E-08193 Barcelona, Spain; [Shafi, Mouhshin; Westover, Brandon] Harvard Univ, Sch Med, Dept Neurol, Massachusetts Gen Hosp,Partners Neurol Program, Boston, MA 02215 USA; [Vahabzadeh-Hagh, Andrew M.; Rotenberg, Alexander] Childrens Hosp, Dept Neurol, Boston, MA 02115 USA; [Pascual-Leone, Alvaro] Harvard Univ, Beth Israel Deaconess Med Ctr, Berenson Allen Ctr Noninvas Brain Stimulat, Div Cognit Neurol,Dept Neurol,Med Sch, 330 Brookline Ave, Boston, MA 02215 USA								164							Clinical Neurology; Neurosciences	WOS:000294815000014		
J	Strang, Nicole M.; Pruessner, Jens; Pollak, Seth D.								Developmental changes in adolescents' neural response to challenge								DEVELOPMENTAL COGNITIVE NEUROSCIENCE				1	4			560	569		10.1016/j.dcn.2011.06.006			OCT 2011	2011	Adolescents often fail to adaptively regulate their emotions and behaviors. This is most clearly demonstrated by the marked increase during this period in fatalities that are attributable to preventable causes. Using functional magnetic resonance methodology, this study explored whether adolescents and adults differed in their engagement of prefrontal circuitry in response to a cognitive and emotional challenge. Twenty-four adolescents and twenty-three adults were scanned while they solved difficult math problems with induced failure and negative social evaluation. Data is reported from 23 adolescents and 23 adults. Adult and adolescent participants showed similar increases in heart rate when responding to the experimental challenge. Despite the similarity of the autonomic response, adolescents recruited a more restricted network of prefrontal regions as compared to adults. Both adolescents and adults recruited the dorsal anterior cingulate cortex and the dorsolateral prefrontal cortex, however adults additionally recruited the anterior insula. Functional connectivity between the anterior insula and other prefrontal regions was stronger in adults as compared to adolescents. Further, for adults, the magnitude of activity in the insula predicted lower autonomic activity in response to the challenge. Differences between adolescents and adults engagement of prefrontal networks may relate to adolescents' poor behavioral and emotional regulation. (C) 2011 Elsevier Ltd. All rights reserved.		[Strang, Nicole M.; Pollak, Seth D.] Univ Wisconsin, Madison, WI 53705 USA; [Pruessner, Jens] McGill Univ, Montreal, PQ, Canada; [Strang, Nicole M.] Univ Wisconsin, Waisman Ctr, 1500 Highland Ave, Madison, WI 53705 USA								9							Psychology, Developmental; Neurosciences	WOS:000208653600017		
J	Thomason, Moriah E.; Hamilton, J. Paul; Gotlib, Ian H.								Stress-induced activation of the HPA axis predicts connectivity between subgenual cingulate and salience network during rest in adolescents								JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY				52	10			1026	1034		10.1111/j.1469-7610.2011.02422.x			OCT 2011	2011	Background: Responses to stress vary greatly in young adolescents, and little is known about neural correlates of the stress response in youth. The purpose of this study was to examine whether variability in cortisol responsivity following a social stress test in young adolescents is associated with altered neural functional connectivity (FC) of the salience network (SN) measured during resting-state functional magnetic resonance imaging (rs-fMRI). Methods: Forty-nine typically developing young adolescents participated in a social stress test during which they contributed salivary cortisol samples. Following this, they underwent rs-fMRI scanning. We examined the association of FC of the SN [ composed of anterior cingulate cortex and bilateral anterior insula regions] with cortisol responsivity. Results: Greater cortisol responsivity was significantly positively correlated with higher FC between subgenual anterior cingulate cortex (Cg25) and the SN, controlling for participant age. There were no regions of the brain that showed an inverse relation. Conclusions: Brain systems that have been implicated in autonomic arousal and that influence subjective feeling states show altered FC associated with stress responsivity in early life.		[Thomason, Moriah E.] Wayne State Univ, Dept Pediat, Sch Med, Merrill Palmer Skillman Inst, Detroit, MI 48202 USA; [Thomason, Moriah E.] Wayne State Univ, Merrill Palmer Skillman Inst Child & Family Dev, Detroit, MI 48202 USA; [Hamilton, J. Paul; Gotlib, Ian H.] Stanford Univ, Dept Psychol, Stanford, CA 94305 USA; [Thomason, Moriah E.] Wayne State Univ, Dept Pediat, Sch Med, Merrill Palmer Skillman Inst, 71 E Ferry St, Detroit, MI 48202 USA								42							Psychology, Developmental; Psychiatry; Psychology	WOS:000295119700003		
J	Mizelle, John Christopher; Tang, Teresa; Pirouz, Nikta; Wheaton, Lewis A.								Forming Tool Use Representations: A Neurophysiological Investigation into Tool Exposure								JOURNAL OF COGNITIVE NEUROSCIENCE				23	10			2920	2934		10.1162/jocn_a_00004			OCT 2011	2011	Prior work has identified a common left parietofrontal network for storage of tool-related information for various tasks. How these representations become established within this network on the basis of different modes of exposure is unclear. Here, healthy subjects engaged in physical practice (direct exposure) with familiar and unfamiliar tools. A separate group of subjects engaged in video-based observation (indirect exposure) of the same tools to understand how these learning strategies create representations. To assess neural mechanisms engaged for pantomime after different modes of exposure, a pantomime task was performed for both tools while recording neural activation with high-density EEG. Motor planning-related neural activation was evaluated using beta band (13-22 Hz) event-related desynchronization. Hemispheric dominance was assessed, and activation maps were generated to understand topography of activations. Comparison of conditions (effects of tool familiarity and tool exposure) was performed with standardized low-resolution brain electromagnetic tomography. Novel tool pantomime following direct exposure resulted in greater activations of bilateral parietofrontal regions. Activations following indirect training varied by tool familiarity; pantomime of the familiar tool showed greater activations in left parietofrontal areas, whereas the novel tool showed greater activations at right temporoparieto-occipital areas. These findings have relevance to the mechanisms for understanding motor-related behaviors involved in new tools that we have little or no experience with and can extend into advancing theories of tool use motor learning.		[Wheaton, Lewis A.] Georgia Inst Technol, Sch Appl Physiol, Cognit Motor Control Lab, Atlanta, GA 30332 USA; [Tang, Teresa] Wake Forest Univ, Winston Salem, NC 27109 USA; [Wheaton, Lewis A.] Georgia Inst Technol, Sch Appl Physiol, Cognit Motor Control Lab, 281 Ferst Dr, Atlanta, GA 30332 USA								10							Neurosciences; Psychology, Experimental	WOS:000294055600023		
J	Backman, Lars; Karlsson, Sari; Fischer, Hakan; Karlsson, Per; Brehmer, Yvonne; Rieckmann, Anna; MacDonald, Stuart W. S.; Farde, Lars; Nyberg, Lars								Dopamine D-1 receptors and age differences in brain activation during working memory								NEUROBIOLOGY OF AGING				32	10			1849	1856		10.1016/j.neurobiolaging.2009.10.018			OCT 2011	2011	In an fMRI study, 20 younger and 20 healthy older adults were scanned while performing a spatial working-memory task under two levels of load. On a separate occasion, the same subjects underwent PET measurements using the radioligand [C-11] SCH23390 to determine dopamine D-1 receptor binding potential (BP) in caudate nucleus and dorsolateral prefrontal cortex (DLPFC). The fMRI study revealed a significant load modulation of brain activity (higher load > lower load) in frontal and parietal regions for younger, but not older, adults. The PET measurements showed marked age-related reductions of D-1 BP in caudate and DLPFC. Statistical control of caudate and DLPFC D-1 binding eliminated the age-related reduction in load-dependent BOLD signal in left frontal cortex, and attenuated greatly the reduction in right frontal and left parietal cortex. These findings suggest that age-related alterations in dopaminergic neurotransmission may contribute to underrecruitment of task-relevant brain regions during working-memory performance in old age. (C) 2009 Elsevier Inc. All rights reserved.		[Backman, Lars; Karlsson, Sari; Fischer, Hakan; Brehmer, Yvonne; Rieckmann, Anna; MacDonald, Stuart W. S.] Karolinska Inst, Aging Res Ctr, SE-11330 Stockholm, Sweden; [Karlsson, Per; Farde, Lars] Karolinska Inst, Dept Clin Neurosci, Psychiat Sect, SE-11330 Stockholm, Sweden; [MacDonald, Stuart W. S.] Univ Victoria, Dept Psychol, Victoria, BC V8W 2Y2, Canada; [Nyberg, Lars] Umea Univ, Dept Radiat Sci, S-90187 Umea, Sweden; [Nyberg, Lars] Umea Univ, Dept Integrat Med Biol, Umea Ctr Funct Brain Imaging, S-90187 Umea, Sweden; [Backman, Lars] Karolinska Inst, Aging Res Ctr, Govlegatan 16, SE-11330 Stockholm, Sweden								75							Geriatrics & Gerontology; Neurosciences	WOS:000294551000012		
J	Skipper, Laura M.; Ross, Lars A.; Olson, Ingrid R.								Sensory and semantic category subdivisions within the anterior temporal lobes								NEUROPSYCHOLOGIA				49	12			3419	3429		10.1016/j.neuropsychologia.2011.07.033			OCT 2011	2011	In the semantic memory literature the anterior temporal lobe (ATL) is frequently discussed as one homogeneous region when in fact, anatomical studies indicate that it is likely that there are discrete subregions within this area. Indeed, the influential Hub Account of semantic memory has proposed that this region is a sensory-amodal, general-purpose semantic processing region. However review of the literature suggested two potential demarcations: sensory subdivisions and a social/nonsocial subdivision. To test this, participants were trained to associate social or non-social words with novel auditory, visual, or audiovisual stimuli. Later, study participants underwent an fMRI scan where they were presented with the sensory stimuli and the task was to recall the semantic associate. The results showed that there were sensory specific subdivisions within the ATL - that the perceptual encoding of auditory stimuli preferentially activated the superior ATL, visual stimuli the inferior ATL, and multisensory stimuli the polar AIL Moreover, our data showed that there is stimulus-specific sensitivity within the ATL - the superior and polar ATLs were more sensitive to the retrieval of social knowledge as compared to non-social knowledge. No An regions were more sensitive to the retrieval of non-social knowledge. These findings indicate that the retrieval of newly learned semantic associations activates the ATL. In addition, superior and polar aspects of the All are sensitive to social stimuli but relatively insensitive to non-social stimuli, a finding that is predicted by anatomical connectivity and single-unit studies in non-human primates. And lastly, the An contains sensory processing subdivisions that fall along superior (auditory), inferior (visual), polar (audiovisual) subdivisions. (C) 2011 Elsevier Ltd. All rights reserved.		[Skipper, Laura M.] Temple Univ, Dept Psychol, Philadelphia, PA 19122 USA; [Skipper, Laura M.] Temple Univ, Dept Psychol, 1701 N 13th St, Philadelphia, PA 19122 USA								68							Behavioral Sciences; Neurosciences; Psychology, Experimental	WOS:000296400500029		
