Authors	Title	Publication Year	DOI	sample size before exclusion	sample_size_after.x	UT	p_oa	p_oa_gold	p_oa_bronze	p_oa_hybrid	p_oa_green	pub_block_begin	pub_block_end	p	mcs	tcs	mncs	mnjs	pp_top_perc	pp_uncited	prop_self_cits	int_cov	pp_collab	pp_int_collab	SO	NR	TC	Z9	U1	U2	SN	JI	PD	WC	SC	AU1_UN	standardized.coder.comment.y	p.value.	MF_short	MF_in_t_a_d_o	MF_clarity	MF_result_report	MF_result_report_clarity	MF_is_positive_finding	Paper_type	is_longtitudinal	paper_clarity	is_replication	is_exploratory	prereg	prereg_link	NA..1	altmetric_jid	issns	cohorts.pub	cohorts.sci	cohorts.com	context.all.count	context.all.mean	context.all.rank	context.all.pct	context.all.higher_than	context.journal.count	context.journal.mean	context.journal.rank	context.journal.pct	context.journal.higher_than	context.similar_age_3m.count	context.similar_age_3m.mean	context.similar_age_3m.rank	context.similar_age_3m.pct	context.similar_age_3m.higher_than	context.similar_age_journal_3m.count	context.similar_age_journal_3m.mean	context.similar_age_journal_3m.rank	context.similar_age_journal_3m.pct	context.similar_age_journal_3m.higher_than	authors1	authors2	authors3	authors4	type	altmetric_id	schema	is_oa	publisher_subjects.name1	publisher_subjects.name2	publisher_subjects.scheme1	publisher_subjects.scheme2	cited_by_posts_count	cited_by_tweeters_count	cited_by_accounts_count	last_updated	score	history.1y	history.6m	history.3m	history.1m	history.1w	history.6d	history.5d	history.4d	history.3d	history.2d	history.1d	history.at	added_on	published_on	scopus_subjects1	scopus_subjects2	readers.citeulike	readers.mendeley	readers.connotea	readers_count	images.small	images.medium	images.large	details_url	publisher_subjects.name3	publisher_subjects.scheme3	pmid	uri	authors5	cited_by_qna_count	subjects	scopus_subjects3	scopus_subjects4	issns1	issns2	issns3	abstract	abstract_source	authors6	authors7	authors8	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_peer_review_sites_count	cited_by_msm_count	authors	publisher_subjects.name	publisher_subjects.scheme	cohorts.doc	publisher_subjects.name4	publisher_subjects.name5	publisher_subjects.name6	publisher_subjects.name7	publisher_subjects.scheme4	publisher_subjects.scheme5	publisher_subjects.scheme6	publisher_subjects.scheme7	cited_by_policies_count	authors9	authors10	subjects1	subjects2	subjects3	cited_by_gplus_count	handles	handle	publisher_subjects.name8	publisher_subjects.name9	publisher_subjects.scheme8	publisher_subjects.scheme9	authors11	authors12	authors13	authors14	authors15	authors16	pmc	scopus_subjects	cited_by_wikipedia_count	cited_by_videos_count	cited_by_pinners_count	cited_by_rdts_count
REED P;CAREY H;EVANS C;RUTTER L	MINDFULNESS TRAINING AND FALSE PERCEPTION IN INDIVIDUALS WITH HIGH UNUSUAL EXPERIENCES	2016	10.1016/J.PAID.2015.09.026	140	140	isi000370886500008	1	0	0	0	1	1981	2017	1	0	0	0	0.89104984057712	0	1	NULL	0.823529411764706	0	0	PERSONALITY AND INDIVIDUAL DIFFERENCES	53	0	0	0	21	0191-8869	PERS. INDIVID. DIFFER.	APR	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	SWANSEA UNIV																	4f6fa5123cf058f6100032ca	0191-8869	2	1	1	12283003	7.6048018409347	6501378	46	5713073	3866	14.644057438551	2159	43	1692	250643	9.5956431164767	93435	61	154555	107	27.981943396226	50	53	57	Phil Reed	Holly Carey	Claire Evans	Lauren Rutter	article	4560323	1.5.4	FALSE	Psychology	Cognitive Science	era	era	6	4	4	1454655026	2.25	0	0	0	0	0	0	0	0	0	0	0	2.25	1443428365	1459468800	Psychology	Social Sciences	0	53	0	53	https://badges.altmetric.com/?size=64&score=3&types=tttttttt	https://badges.altmetric.com/?size=100&score=3&types=tttttttt	https://badges.altmetric.com/?size=180&score=3&types=tttttttt	http://www.altmetric.com/details.php?citation_id=4560323																																																										
REEVE J;OLSON BC;COLE SG	INTRINSIC MOTIVATION IN COMPETITION - THE INTERVENING ROLE OF 4 INDIVIDUAL-DIFFERENCES FOLLOWING OBJECTIVE COMPETENCE INFORMATION	1987	10.1016/0092-6566(87)90004-3	117	108	isia1987h474100004	0	0	0	0	0	1981	2017	1	16	16	0.333310560428863	1.12661221523337	0	0	0.2	0.689655172413793	1	0	JOURNAL OF RESEARCH IN PERSONALITY	55	20	20	0	5	0092-6566	J. RES. PERS.	JUN	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	TEXAS CHRISTIAN UNIV;UNIV ROCHESTER		0.01	"""In Experiment 1, outcome, locus of control, and the resultant achievement motivation x outcome interaction predicted level of intrinsic motivation, thereby substantiating the claim that in- dividual differences are important in the prediction of intrinsic motivation. """	2	1	"""Inspection of the individual F ratios in Table 1 reveals that the predictor variables were outcome, F(1, 106) = 6.90, p < .01, locus of control, F(1, 106) = 6.54, p < .01, and the resultant achievement motivation x outcome interaction, F(1, 106) = 3.64, p < .06."""	1	1	1	0	2	0	1	0																																																																																																																														
RETTIG S	ACTIVE AND REACTIVE STATES OF BEING	1978	10.1177/009055267800900102	44	39	isia1978en39500002	NULL	NULL	NULL	NULL	NULL	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	SMALL GROUP BEHAVIOR	13	0	0	0	0	0090-5526			"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	HUNTER COLL																																																																																																																																												
RIGGS JM;MONACH EM;OGBURN TA;PAHIDES S	INDUCING SELF-PERCEPTIONS - THE ROLE OF SOCIAL-INTERACTION	1983	10.1177/0146167283092009	31	31	isia1983rr96300009	0	0	0	0	0	1981	2017	1	8	8	0.192431209428858	1.07440758597779	0	0	0.111111111111111	1	0	0	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	13	9	9	0	0	0146-1672	PERS. SOC. PSYCHOL. BULL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	GETTYSBURG COLL		0.07	"""Target subjects asked a set of questions designed to elicit instances of extraverted behavior described themselves as being more extraverted than those asked question designed to elicit instances of introverted behavior"""	3	1	"A two-way analysis of variance revealed only the expected main effect for questions, F(1, 27) = 8.43, p = 0.07 "	0	1	1	0	1	1	0	0	0	"was ment as more than a replication, but the main finding seemed to be that something replicated"																																																																																																																												
RIM Y	SENSE OF HUMOR AND COPING STYLES	1988	10.1016/0191-8869(88)90153-5	106	106	isia1988n784100006	0	0	0	0	0	1981	2017	1	18	18	0.358841289289909	0.303200061182767	0	0	0.217391304347826	0.4	0	0	PERSONALITY AND INDIVIDUAL DIFFERENCES	6	27	27	0	2	0191-8869	PERS. INDIVID. DIFFER.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	TECHNION ISRAEL INST TECHNOL		0.05	"""The connections between humour and coping styles, for both men and women:
coping with humour is correlated positively with Substitution and negatively with Suppression"""	3	1	from a table : p = 0.05	1	1	2	0	2	0	1	0	0																																																																																																																													
ROTHBART MK	BIRTH ORDER AND MOTHER-CHILD INTERACTION IN AN ACHIEVEMENT SITUATION	1971	10.1037/H0030375	56	56	isia1971i547200001	NULL	NULL	NULL	NULL	NULL	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	18	57	57	0	0	0022-3514	J. PERS. SOC. PSYCHOL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	NOTREPORTED																																																																																																																																												
RYFF CD;KEYES CLM;HUGHES DL	"STATUS INEQUALITIES, PERCEIVED DISCRIMINATION, AND EUDAIMONIC WELL-BEING: DO THE CHALLENGES OF MINORITY LIFE HONE PURPOSE AND GROWTH?"	2003	10.2307/1519779	3032	2824	isi000222044100004	1	0	0	0	1	1981	2017	1	116	116	3.56454009994513	2.85777783874911	1	0	0.0569105691056911	0.634146341463415	1	0	JOURNAL OF HEALTH AND SOCIAL BEHAVIOR	51	161	167	2	39	0022-1465	J. HEALTH SOC. BEHAV.	SEP	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; PSYCHOLOGY, SOCIAL; SOCIAL SCIENCES, BIOMEDICAL; SOCIOLOGY"	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; PSYCHOLOGY; BIOMEDICAL SOCIAL SCIENCES; SOCIOLOGY"	UNIV WISCONSIN																																																																																																																																												
SANDERS GS	INTEGRATION OF SHIFTS TOWARD RISK AND CAUTION IN GAMBLING SITUATIONS	1978	10.1016/0022-1031(78)90036-7	72	72	isia1978fd59800008	NULL	NULL	NULL	NULL	NULL	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY	12	5	5	0	0	0022-1031	J. EXP. SOC. PSYCHOL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	SUNY ALBANY		0.05	"""It was found that
group-induced caution can occur in the blackjack setting if groups have larger
stakes than individuals, as was the case in the racetrack studies, and that this
effect disappears over trials, due to group versus individual differences established
in the previous blackjack studies. """	2	1	"""As predicted, the Group-Larger Stakes condition produced a cautious shift, M = -12.50; t(7) = 2.05, p < .05,one-tailed, while neither the Individual nor the Group-Same Stakes conditions produced a reliable shift, A4 = f1.88; t(7) < 1, and M = f0.96;t(7) < 1, respectively."""	1	1	1	0	1	0	0	0																																																																																																																														
SCHWARZ JC	CONTRIBUTION OF GENERALIZED EXPECTANCY TO STATED EXPECTANCY UNDER CONDITIONS OF SUCCESS AND FAILURE	1969	10.1037/H0026886	136	136	isia1969c802300010	NULL	NULL	NULL	NULL	NULL	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	14	8	8	0	1	0022-3514	J. PERS. SOC. PSYCHOL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	NOTREPORTED																																																																																																																																												
SCHYNS B;HANSBROUGH T	THE ROMANCE OF LEADERSHIP SCALE AND CAUSAL ATTRIBUTIONS	2012	10.1111/J.1559-1816.2012.00922.X	91	91	isi000307383500004	0	0	0	0	0	1981	2017	1	1	1	0.0778230083751106	0.599755984544185	0	0	0.5	0.75	1	1	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	24	4	4	1	14	0021-9029	J. APPL. SOC. PSYCHOL.	AUG	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV DURHAM																	4f6fa4ef3cf058f610002c9d	0021-9029	1	1		13604426	8.1731575774682	10394701	20	2764485	1181	11.753023728814	1061	9	112	121734	6.5001202960579	82873	28	34862	19	24.274333333333	11	31	6	BIRGIT SCHYNS	TIFFANY HANSBROUGH			article	748509	1.5.4	FALSE	Psychology	Cognitive Science	era	era	2	2	2	1344567749	0.75	0	0	0	0	0	0	0	0	0	0	0	0.75	1337261574	1337126400	Psychology	Social Sciences	0	26	0	26	https://badges.altmetric.com/?size=64&score=1&types=tttttttt	https://badges.altmetric.com/?size=100&score=1&types=tttttttt	https://badges.altmetric.com/?size=180&score=1&types=tttttttt	http://www.altmetric.com/details.php?citation_id=748509	Marketing	era																																																								
